benchmark,network_id,network,domain,family,analysis_family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ca_grqc,ca-GrQc,scientific_collaboration,degree_based,standard_local,pa,PA,0.8628888089330177,0.004232154817945291,0.8421915541344399,0.0054118808866969745,0.7597409606044253,0.007030164735879981,0.7597409606044253,0.007030164735879981,0.7597409606044252,0.007030164735879957,0.7891579073809867,0.006257773667806515
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_aa,CAR-AA,0.8506057809214045,0.008656058133259679,0.8504962853953376,0.008577789566053151,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062599352675346,0.009526811827318207
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_cn,CAR-CN,0.8504856860755581,0.008565048855124205,0.8504570555354437,0.00854971645048597,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062516477149126,0.009520794418081197
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_ra,CAR-RA,0.8506555928706685,0.00866155962588055,0.8505251180317852,0.00858244424909574,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062663765787288,0.00952635450500402
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,fsw,FSW,0.966183580847157,0.003679815922316773,0.9662230906314611,0.0037088809323990906,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481813986007108,0.005002438676116364
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ia1,IA1,0.9667321110171475,0.003708476834443493,0.9666166124331571,0.0037353516248890433,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9482399043146916,0.005002605668252609
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ia2,IA2,0.96669194102798,0.0037090520728801043,0.9665837024541816,0.0037356225835246033,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9482353929010404,0.005000107286259859
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,lit,LIT-i2,0.9331738985288535,0.00667460944415598,0.9329805752489582,0.006748253968034758,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.8820291419320021,0.0091472888578127,0.9006164927716223,0.007816232936115415
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ra_cni,RA-CNI,0.9815998114711076,0.0031756978781570396,0.9815060771334185,0.0030986198165335417,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9723512695160966,0.004441414469859491
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,local_bayesian,lnb_aa,LNB-AA,0.9666711682342409,0.003765712529958129,0.9665572288516252,0.0037852787542454413,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9482313885938712,0.0050094712273517335
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,local_bayesian,lnb_cn,LNB-CN,0.9663530965877541,0.003913966795637856,0.9663209468521314,0.0038871754245031896,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481929421381785,0.005028613298103866
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,local_bayesian,lnb_ra,LNB-RA,0.9667526069238509,0.003694613320278822,0.9666217673590672,0.0037311269488743727,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.948241083139812,0.004999273697683018
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,aa,AA,0.9667049271219333,0.0037345049531454927,0.9665936336956247,0.0037576029622871207,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9482366814312913,0.005007428888216513
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,cn,CN,0.965784431946364,0.00399843943566795,0.9662382059226895,0.0038695488002413883,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481880451175273,0.005020116074504934
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,hdi,HDI,0.9656505611158632,0.0039658575753191705,0.9659188043833762,0.0038067283632657514,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481083554626956,0.005033406710392383
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,hpi,HPI,0.9635043098596178,0.0058915730191937575,0.9654420174224846,0.004344371110866263,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.947731710516436,0.005261982598217622
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,ja,JA,0.9656786264203292,0.0040775855824248565,0.9659318518794656,0.003877756448344399,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481121782155393,0.005046877448516676
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,llhn,LLHN,0.9608115722548666,0.005989690299241045,0.964412488434181,0.004190302388213007,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.947121114812617,0.005501845609338759
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,ra,RA,0.9667647408342134,0.0036717989543386294,0.9666411056122,0.0037089697073379537,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9482439093259798,0.0049972293735339865
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,sa,SA,0.9656977021096192,0.004190839988006988,0.9659397735735199,0.0039488712160399096,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.948110179679136,0.005060425104724579
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,so,SO,0.9656786264203292,0.0040775855824248565,0.9659318518794656,0.003877756448344399,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9382622773880194,0.005919123403430595,0.9481121782155393,0.005046877448516676
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,quasi_local_path,fl,FL-l3,0.9820305938209868,0.0031636655250474916,0.981985630862454,0.003128172227643513,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.9727529013024458,0.004254410631868237
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,0.9820305938209868,0.0031636655250474916,0.981985630862454,0.003128172227643513,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.9727529013024458,0.004254410631868237
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,0.9818539632287626,0.0031765955746650525,0.9817546785321218,0.003106651737546936,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.967620075553157,0.005004651103883295,0.9727115512794082,0.004259144889836342
