family,analysis_family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
quasi_local_walk,quasi_local_walk,srw,SRW-l3,8,0.9220421872498584,0.08349936810664456,0.9222991501679797,0.08360755785513355,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8948085647439017,0.08175266129183625,1
quasi_local_path,quasi_local_path,fl,FL-l3,8,0.9180400687375068,0.08177679508920326,0.9192188442664329,0.08195886763053557,0.8670147718758956,0.10324537788203633,0.8670147718758956,0.10324537788203633,0.8670147718758956,0.10324537788203633,0.890152345810393,0.08038566206360961,2
quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,8,0.9180014231522624,0.08175590942330885,0.9192026666445591,0.0819491604660309,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8901486451808709,0.08038458751238603,3
quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,8,0.9123320076798025,0.07968424556664418,0.9143843399397288,0.08015964947710645,0.8596712220990428,0.10078597676115407,0.8596712220990428,0.10078597676115407,0.8596712220990428,0.10078597676115407,0.8831520444149341,0.07885292652078121,4
enhanced_local,enhanced_local,ra_cni,RA-CNI,8,0.9086188103204844,0.08557673856400587,0.9105838190787864,0.08627418789627728,0.8554944914776157,0.10665753610049664,0.8554944914776157,0.10665753610049664,0.8554944914776157,0.10665753610049664,0.8797447207775695,0.08321431653171982,5
quasi_local_walk,quasi_local_walk,pfp,PFP-l3,8,0.9085633375784766,0.07938369572537174,0.9138578040347058,0.08022344623616287,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191255,0.8831935409531906,0.08026865388185886,6
quasi_local_walk,quasi_local_walk,lrw,LRW-l3,8,0.8847370993273568,0.11854163569129264,0.8862777854311675,0.11704307648836809,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8566941295253458,0.10236258643225038,7
enhanced_local,enhanced_local,ia1,IA1,8,0.8809871269536101,0.12299794662202974,0.8810781320838458,0.12332641393127218,0.8281541768289735,0.13735921254660435,0.8281541768289735,0.13735921254660435,0.8281541768289735,0.13735921254660433,0.8573782454943324,0.10888610516121115,8
local_similarity,standard_local,ra,RA,8,0.8808779623682608,0.12310433798585549,0.8811485087983153,0.1234285145858912,0.8282749755413139,0.13746826170179863,0.8282749755413139,0.13746826170179863,0.8282749755413139,0.13746826170179863,0.8574256509065441,0.10899670475328292,9
local_bayesian,local_bayesian,lnb_ra,LNB-RA,8,0.8808589549742831,0.12301508485773789,0.8810506167026539,0.12336259750462848,0.8281342194318185,0.1373979387092495,0.8281342194318185,0.1373979387092495,0.8281342194318185,0.1373979387092495,0.857312469791356,0.10893330432181549,10
local_bayesian,local_bayesian,lnb_aa,LNB-AA,8,0.880047682076669,0.12229719739174422,0.8804104326125921,0.12284987528267421,0.8270354694898332,0.13663677772280874,0.8270354694898332,0.13663677772280874,0.8270354694898332,0.13663677772280874,0.8562778781031803,0.10822075386679844,11
enhanced_local,enhanced_local,ia2,IA2,8,0.8800182466467095,0.12301488151690647,0.8805316502066398,0.12319914832736076,0.8278154720622748,0.1371938210583362,0.8278154720622748,0.1371938210583362,0.8278154720622748,0.1371938210583362,0.8569234965232233,0.10882555780238377,12
local_similarity,standard_local,aa,AA,8,0.8795692126440822,0.12204573979900357,0.8801064104180272,0.12264769212805131,0.826650492022502,0.1364285251498923,0.826650492022502,0.1364285251498923,0.826650492022502,0.1364285251498923,0.8558924143728643,0.10804030941987593,13
local_bayesian,local_bayesian,lnb_cn,LNB-CN,8,0.8789578534190761,0.12174568609312107,0.8796119092958774,0.12237303276585687,0.8258463828491072,0.13579329616563424,0.8258463828491072,0.13579329616563424,0.8258463828491072,0.13579329616563424,0.855118619572296,0.10748777128266453,14
enhanced_local,enhanced_local,fsw,FSW,8,0.8780699499571991,0.12194335393358034,0.8787346981497834,0.12218613375263467,0.8246348231817824,0.1351943237865969,0.8246348231817824,0.1351943237865969,0.8246348231817824,0.1351943237865969,0.8540571112654274,0.10710241733555906,15
local_similarity,standard_local,cn,CN,8,0.875463538579159,0.12064218558193038,0.8786308676691006,0.12188902846660808,0.8246362410934776,0.1350834911410567,0.8246362410934776,0.1350834911410567,0.8246362410934776,0.1350834911410567,0.8539597819498991,0.10691361747903955,16
local_similarity,standard_local,sa,SA,8,0.8745406044042155,0.1208240335875752,0.8770554248404815,0.12145329318543552,0.8219125814024677,0.1331046470239665,0.8219125814024677,0.1331046470239665,0.8219125814024677,0.1331046470239665,0.8509025257489243,0.10519535200287382,17
local_similarity,standard_local,ja,JA,8,0.8745314010113481,0.12056737949966975,0.8767233751707508,0.12111227908927662,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8497739307433126,0.10417695969672022,18
local_similarity,standard_local,so,SO,8,0.8745314010113481,0.12056737949966975,0.8767233751707508,0.12111227908927662,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8205258413814369,0.13194058640989742,0.8497739307433126,0.10417695969672022,18
local_similarity,standard_local,hdi,HDI,8,0.872905669965728,0.11962936090070697,0.8752719402141598,0.12020376614708515,0.8180557743073262,0.13064427407331528,0.8180557743073262,0.13064427407331528,0.8180557743073262,0.13064427407331525,0.8475297435527961,0.10311741346922225,20
local_similarity,standard_local,hpi,HPI,8,0.855135941811096,0.11347598365784649,0.8711864104609155,0.1182291695030635,0.81839310790484,0.13134515335232697,0.81839310790484,0.13134515335232697,0.81839310790484,0.13134515335232697,0.8426186729018825,0.102675167011934,21
enhanced_local,enhanced_local,lit,LIT-i2,8,0.8420465096694253,0.16065434274368257,0.8423867431909273,0.16098594442846542,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.7875715328790895,0.15890793020441382,0.8183469235653114,0.1332552306622287,22
local_similarity,standard_local,llhn,LLHN,8,0.8318021553302007,0.10646913968661557,0.8571296699723904,0.11135514688650794,0.8032162816870414,0.1255784887152194,0.8032162816870414,0.1255784887152194,0.8032162816870414,0.12557848871521943,0.8265164393212572,0.09942897921218302,23
degree_based,standard_local,pa,PA,8,0.7908033208281221,0.0875373128345591,0.7901835945478217,0.08557994502644792,0.7173807382109335,0.06894284477337954,0.7173807382109335,0.06894284477337954,0.7173807382109335,0.06894284477337953,0.7431084236699189,0.06303848149431014,24
enhanced_local,enhanced_local,car_ra,CAR-RA,8,0.7733582436887168,0.1837374609039962,0.7733965371801363,0.1838978769653807,0.7301545516225171,0.1756654636015248,0.7301545516225171,0.1756654636015248,0.7301545516225172,0.1756654636015248,0.7565374073729629,0.16384782357854671,25
enhanced_local,enhanced_local,car_aa,CAR-AA,8,0.7720426864378358,0.18248709873899435,0.7725540720131416,0.18304227213058422,0.7288463979781648,0.17433317871876924,0.7288463979781648,0.17433317871876924,0.7288463979781648,0.17433317871876924,0.7552458087591924,0.16258737233270684,26
enhanced_local,enhanced_local,car_cn,CAR-CN,8,0.7713102560443368,0.18189605229005484,0.7722344668193779,0.18273313561132806,0.7283616483634632,0.17371090211822893,0.7283616483634632,0.17371090211822893,0.7283616483634632,0.17371090211822893,0.7547599503369302,0.16201256867862318,27
