benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ego_facebook,ego-Facebook,social,1,degree_based,pa,0.8528709810164854,0.8406426066767847,0.7581353919239905,0.7581353919239905,0.7581353919239905,0.7769481155127518,16840,16840,16840,33680,PA,0.02468557609245181
revision,ego_facebook,ego-Facebook,social,2,degree_based,pa,0.8535112209824577,0.8391808179638466,0.7599026070431736,0.7599026070431736,0.7599026070431736,0.7787826227024822,16839,16839,16839,33678,PA,0.02497675409540534
revision,ego_facebook,ego-Facebook,social,3,degree_based,pa,0.8498350195430742,0.8370497726234766,0.7574083971732288,0.7574083971732288,0.7574083971732288,0.7761086844740137,16839,16839,16839,33678,PA,0.024381193332374096
revision,ego_facebook,ego-Facebook,social,4,degree_based,pa,0.8563205481857242,0.8443582859733122,0.7632282202031,0.7632282202031,0.7632282202031,0.7815668991629956,16839,16839,16839,33678,PA,0.024120444897562265
revision,ego_facebook,ego-Facebook,social,5,degree_based,pa,0.8515175607381011,0.8368164485120875,0.7558049765425501,0.7558049765425501,0.7558049765425502,0.7749815679991344,16839,16839,16839,33678,PA,0.024094758089631796
revision,socfb_middlebury45,socfb-Middlebury45,social,1,degree_based,pa,0.7744733960155673,0.7929145482177884,0.7159782787559651,0.7159782787559651,0.715978278755965,0.7293915136080327,24308,24308,24308,48616,PA,0.03348911693319678
revision,socfb_middlebury45,socfb-Middlebury45,social,2,degree_based,pa,0.7732368504644416,0.7910361369771385,0.7145384235642587,0.7145384235642587,0.7145384235642586,0.7280402611289423,24308,24308,24308,48616,PA,0.033620182890444994
revision,socfb_middlebury45,socfb-Middlebury45,social,3,degree_based,pa,0.7744218939082262,0.7923424944169267,0.715813723876913,0.715813723876913,0.715813723876913,0.7293803325894176,24308,24308,24308,48616,PA,0.03399169212207198
revision,socfb_middlebury45,socfb-Middlebury45,social,4,degree_based,pa,0.7747398175039206,0.7937240449338532,0.7177472437057759,0.7177472437057759,0.7177472437057759,0.7308774754027743,24308,24308,24308,48616,PA,0.03247333085164428
revision,socfb_middlebury45,socfb-Middlebury45,social,5,degree_based,pa,0.7714197103269232,0.7905629235987205,0.713457028839429,0.713457028839429,0.713457028839429,0.7268126230246623,24307,24307,24307,48614,PA,0.03264802787452936
revision,ca_grqc,ca-GrQc,scientific_collaboration,1,degree_based,pa,0.8569582593909071,0.8363152298354298,0.7485159201295197,0.7485159201295197,0.7485159201295197,0.7791799342838417,1853,1853,1853,3706,PA,0.0040359809063375
revision,ca_grqc,ca-GrQc,scientific_collaboration,2,degree_based,pa,0.8663217621545126,0.8480297261569386,0.7636265515380464,0.7636265515380464,0.7636265515380464,0.792635769269831,1853,1853,1853,3706,PA,0.003866827115416527
revision,ca_grqc,ca-GrQc,scientific_collaboration,3,degree_based,pa,0.8598408963029371,0.836738399742079,0.7571505666486779,0.7571505666486779,0.7571505666486779,0.7867967708962204,1853,1853,1853,3706,PA,0.0039010532200336456
revision,ca_grqc,ca-GrQc,scientific_collaboration,4,degree_based,pa,0.8655570508299426,0.8435726082964018,0.7641662169454938,0.7641662169454938,0.7641662169454938,0.793316838546253,1853,1853,1853,3706,PA,0.003839452750980854
revision,ca_grqc,ca-GrQc,scientific_collaboration,5,degree_based,pa,0.8657660759867891,0.8463018066413502,0.7652455477603886,0.7652455477603886,0.7652455477603884,0.7938602239087873,1853,1853,1853,3706,PA,0.0038363588973879814
revision,ca_hepth,ca-HepTh,scientific_collaboration,1,degree_based,pa,0.8312217888461013,0.8244042599330168,0.7455163883735312,0.7455163883735312,0.7455163883735311,0.7698140732108213,3234,3234,3234,6468,PA,0.007212442811578512
revision,ca_hepth,ca-HepTh,scientific_collaboration,2,degree_based,pa,0.8371707159950738,0.8259921638864126,0.7464440321583179,0.7464440321583179,0.7464440321583178,0.7716941075770751,3234,3234,3234,6468,PA,0.007687394041568041
revision,ca_hepth,ca-HepTh,scientific_collaboration,3,degree_based,pa,0.8368249450563778,0.8291285311560955,0.7520098948670377,0.7520098948670377,0.7520098948670376,0.7759582726545614,3234,3234,3234,6468,PA,0.00745773408561945
revision,ca_hepth,ca-HepTh,scientific_collaboration,4,degree_based,pa,0.8369773687788266,0.8248917462076751,0.743661100803958,0.743661100803958,0.743661100803958,0.769304480224707,3234,3234,3234,6468,PA,0.007175457663834095
revision,ca_hepth,ca-HepTh,scientific_collaboration,5,degree_based,pa,0.8342137977950215,0.8225243293598178,0.7438911227961645,0.7438911227961645,0.7438911227961644,0.7691468482047428,3233,3233,3233,6466,PA,0.00728526571765542
revision,email_eu_core,email-Eu-core,communication,1,degree_based,pa,0.871340474294399,0.8792553771573712,0.7887931034482759,0.7887931034482759,0.7887931034482759,0.8067836523886048,3016,3016,3016,6032,PA,0.004668544977903366
revision,email_eu_core,email-Eu-core,communication,2,degree_based,pa,0.8575763795083575,0.8663348964672939,0.7718832891246684,0.7718832891246684,0.7718832891246685,0.7933484572617663,3016,3016,3016,6032,PA,0.004680584650486708
revision,email_eu_core,email-Eu-core,communication,3,degree_based,pa,0.8649689384686515,0.8707828253734283,0.78315649867374,0.78315649867374,0.7831564986737399,0.8040692821464369,3016,3016,3016,6032,PA,0.004662469960749149
revision,email_eu_core,email-Eu-core,communication,4,degree_based,pa,0.8655106940646581,0.8743872204124422,0.7844827586206896,0.7844827586206896,0.7844827586206896,0.8048647634392123,3016,3016,3016,6032,PA,0.0046257441863417625
revision,email_eu_core,email-Eu-core,communication,5,degree_based,pa,0.872268225859836,0.8758536229851296,0.7840796019900498,0.7840796019900498,0.7840796019900498,0.8058469659285455,3015,3015,3015,6030,PA,0.004624413792043924
revision,email_univ,email-univ,communication,1,degree_based,pa,0.8142284596303259,0.8217820323216735,0.7442129629629629,0.7442129629629629,0.7442129629629628,0.7717768913762035,864,864,864,1728,PA,0.0019545340910553932
revision,email_univ,email-univ,communication,2,degree_based,pa,0.8213969414393925,0.8346776138117284,0.7569444444444444,0.7569444444444444,0.7569444444444444,0.7822563191542428,864,864,864,1728,PA,0.0018966048955917358
revision,email_univ,email-univ,communication,3,degree_based,pa,0.8268560306324984,0.8450005090449245,0.7581018518518519,0.7581018518518519,0.7581018518518519,0.7825894676847931,864,864,864,1728,PA,0.001910300925374031
revision,email_univ,email-univ,communication,4,degree_based,pa,0.8236514776227681,0.8357546457047326,0.7557870370370371,0.7557870370370371,0.755787037037037,0.780526102063692,864,864,864,1728,PA,0.0018929969519376755
revision,email_univ,email-univ,communication,5,degree_based,pa,0.817308110717959,0.832756196887894,0.7589803012746235,0.7589803012746235,0.7589803012746235,0.7829857427024436,863,863,863,1726,PA,0.0019303769804537296
revision,power_grid,power-grid,infrastructure,1,degree_based,pa,0.6404596458053334,0.6340440485209153,0.595166163141994,0.595166163141994,0.595166163141994,0.6330017135209163,331,331,331,662,PA,0.0019953479059040546
revision,power_grid,power-grid,infrastructure,2,degree_based,pa,0.6908732588217987,0.6744233805825065,0.622356495468278,0.622356495468278,0.622356495468278,0.6684566914960891,331,331,331,662,PA,0.0019320319406688213
revision,power_grid,power-grid,infrastructure,3,degree_based,pa,0.644557038545996,0.6280428254579641,0.5891238670694864,0.5891238670694864,0.5891238670694864,0.6317814617358651,331,331,331,662,PA,0.0018627587705850601
revision,power_grid,power-grid,infrastructure,4,degree_based,pa,0.6397375739274902,0.6217586549958469,0.5770392749244713,0.5770392749244713,0.5770392749244713,0.6209275354142634,331,331,331,662,PA,0.0018811831250786781
revision,power_grid,power-grid,infrastructure,5,degree_based,pa,0.6316030112244363,0.6291919191919192,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6251193898752516,330,330,330,660,PA,0.0019449880346655846
revision,power_1138_bus,power-1138-bus,infrastructure,1,degree_based,pa,0.6080929394551375,0.6068639053254439,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5741473201760536,65,65,65,130,PA,0.0008437070064246655
revision,power_1138_bus,power-1138-bus,infrastructure,2,degree_based,pa,0.7202301048642799,0.7471923828125,0.703125,0.703125,0.703125,0.7307557614513037,64,64,64,128,PA,0.000841126311570406
revision,power_1138_bus,power-1138-bus,infrastructure,3,degree_based,pa,0.6657819132781846,0.659912109375,0.578125,0.578125,0.578125,0.6355435001952158,64,64,64,128,PA,0.0008187610656023026
revision,power_1138_bus,power-1138-bus,infrastructure,4,degree_based,pa,0.7049024162367119,0.736083984375,0.703125,0.703125,0.703125,0.7321706157592455,64,64,64,128,PA,0.0008207978680729866
revision,power_1138_bus,power-1138-bus,infrastructure,5,degree_based,pa,0.6275895389052603,0.63671875,0.59375,0.59375,0.59375,0.6227878986445636,64,64,64,128,PA,0.0008069835603237152
