benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ego_facebook,ego-Facebook,social,1,enhanced_local,ra_cni,0.9889005713836683,0.9903123906855635,0.9527315914489312,0.9527315914489312,0.9527315914489312,0.9576016553773223,16840,16840,16840,33680,RA-CNI,50.14533724170178
revision,ego_facebook,ego-Facebook,social,1,enhanced_local,ia2,0.9927104310840051,0.993674331489328,0.976187648456057,0.976187648456057,0.976187648456057,0.9785936717145616,16840,16840,16840,33680,IA2,50.14533724170178
revision,ego_facebook,ego-Facebook,social,1,enhanced_local,car_ra,0.9824456789003227,0.9832808330183198,0.9718527315914489,0.9718527315914489,0.9718527315914489,0.9747539261668622,16840,16840,16840,33680,CAR-RA,50.14533724170178
revision,ego_facebook,ego-Facebook,social,1,enhanced_local,fsw,0.9911311303188157,0.9923608920904304,0.9705463182897862,0.9705463182897862,0.9705463182897862,0.9735379801377357,16840,16840,16840,33680,FSW,50.14533724170178
revision,ego_facebook,ego-Facebook,social,2,enhanced_local,ra_cni,0.9895875174684889,0.9908691907610105,0.9541540471524438,0.9541540471524438,0.9541540471524438,0.9589060105095787,16839,16839,16839,33678,RA-CNI,49.217314519453794
revision,ego_facebook,ego-Facebook,social,2,enhanced_local,ia2,0.993853622747189,0.9944246612951001,0.9771364095255063,0.9771364095255063,0.9771364095255063,0.9795339521625356,16839,16839,16839,33678,IA2,49.217314519453794
revision,ego_facebook,ego-Facebook,social,2,enhanced_local,car_ra,0.9830936300523723,0.9834817077469208,0.9723855335827544,0.9723855335827544,0.9723855335827544,0.9753307094746432,16839,16839,16839,33678,CAR-RA,49.217314519453794
revision,ego_facebook,ego-Facebook,social,2,enhanced_local,fsw,0.9925412938738578,0.9933486837495276,0.9728012352277451,0.9728012352277451,0.9728012352277451,0.9756486918471537,16839,16839,16839,33678,FSW,49.217314519453794
revision,ego_facebook,ego-Facebook,social,3,enhanced_local,ra_cni,0.9896794332685339,0.9909112059939102,0.9516004513332146,0.9516004513332146,0.9516004513332146,0.9566813230159598,16839,16839,16839,33678,RA-CNI,49.001932985614985
revision,ego_facebook,ego-Facebook,social,3,enhanced_local,ia2,0.9937529279702603,0.9943243040134438,0.9774927252212127,0.9774927252212127,0.9774927252212127,0.9798532612600863,16839,16839,16839,33678,IA2,49.001932985614985
revision,ego_facebook,ego-Facebook,social,3,enhanced_local,car_ra,0.9823557195067089,0.9827798556864652,0.9713165864956351,0.9713165864956351,0.9713165864956351,0.9743973211006872,16839,16839,16839,33678,CAR-RA,49.001932985614985
revision,ego_facebook,ego-Facebook,social,3,enhanced_local,fsw,0.9924765853135358,0.9932070906336761,0.9722073757349011,0.9722073757349011,0.9722073757349011,0.9751420709633775,16839,16839,16839,33678,FSW,49.001932985614985
revision,ego_facebook,ego-Facebook,social,4,enhanced_local,ra_cni,0.9896058527926501,0.9910663486564777,0.9542728190510126,0.9542728190510126,0.9542728190510126,0.9589919031353265,16839,16839,16839,33678,RA-CNI,49.42722701700404
revision,ego_facebook,ego-Facebook,social,4,enhanced_local,ia2,0.9940793628741863,0.9948706184219432,0.9774927252212127,0.9774927252212127,0.9774927252212127,0.9798102953029522,16839,16839,16839,33678,IA2,49.42722701700404
revision,ego_facebook,ego-Facebook,social,4,enhanced_local,car_ra,0.9835951387666391,0.9841657024076378,0.9730981649741671,0.9730981649741671,0.9730981649741671,0.9759222558141804,16839,16839,16839,33678,CAR-RA,49.42722701700404
revision,ego_facebook,ego-Facebook,social,4,enhanced_local,fsw,0.9927124096787537,0.9936779885190762,0.9728606211770295,0.9728606211770295,0.9728606211770295,0.9756700743778173,16839,16839,16839,33678,FSW,49.42722701700404
revision,ego_facebook,ego-Facebook,social,5,enhanced_local,ra_cni,0.9880282499589428,0.9895639976990315,0.9491656274125542,0.9491656274125542,0.9491656274125542,0.9544031325879446,16839,16839,16839,33678,RA-CNI,49.84718400379643
revision,ego_facebook,ego-Facebook,social,5,enhanced_local,ia2,0.9931221793041944,0.9938403661881732,0.9745828137062771,0.9745828137062771,0.9745828137062771,0.9772237931495061,16839,16839,16839,33678,IA2,49.84718400379643
revision,ego_facebook,ego-Facebook,social,5,enhanced_local,car_ra,0.9827252478822274,0.9832388439364513,0.9706633410535067,0.9706633410535067,0.9706633410535067,0.9737514055531192,16839,16839,16839,33678,CAR-RA,49.84718400379643
revision,ego_facebook,ego-Facebook,social,5,enhanced_local,fsw,0.9916873643721884,0.9925956206094614,0.9694756220678188,0.9694756220678188,0.9694756220678188,0.972659472173033,16839,16839,16839,33678,FSW,49.84718400379643
revision,socfb_middlebury45,socfb-Middlebury45,social,1,enhanced_local,ra_cni,0.9160802999278301,0.9269818695021049,0.8528879381273655,0.8528879381273655,0.8528879381273655,0.8632917194779783,24308,24308,24308,48616,RA-CNI,36.98497292306274
revision,socfb_middlebury45,socfb-Middlebury45,social,1,enhanced_local,ia2,0.9531081945418101,0.9548721563342295,0.8906944215896001,0.8906944215896001,0.8906944215896001,0.9002433737331325,24308,24308,24308,48616,IA2,36.98497292306274
revision,socfb_middlebury45,socfb-Middlebury45,social,1,enhanced_local,car_ra,0.9420894909840334,0.9429084088883573,0.8900773407931545,0.8900773407931545,0.8900773407931545,0.8996757457010686,24308,24308,24308,48616,CAR-RA,36.98497292306274
revision,socfb_middlebury45,socfb-Middlebury45,social,1,enhanced_local,fsw,0.9516478410028573,0.9536041037000097,0.8885140694421589,0.8885140694421589,0.888514069442159,0.8982270841671067,24308,24308,24308,48616,FSW,36.98497292306274
revision,socfb_middlebury45,socfb-Middlebury45,social,2,enhanced_local,ra_cni,0.9184213868430845,0.9284863394606038,0.8553562613131479,0.8553562613131479,0.8553562613131479,0.865684926454153,24308,24308,24308,48616,RA-CNI,36.78718676511198
revision,socfb_middlebury45,socfb-Middlebury45,social,2,enhanced_local,ia2,0.9543486850644247,0.9565578910265438,0.8953430969228238,0.8953430969228238,0.8953430969228238,0.9044281667768175,24308,24308,24308,48616,IA2,36.78718676511198
revision,socfb_middlebury45,socfb-Middlebury45,social,2,enhanced_local,car_ra,0.9437193613381398,0.9450317857367123,0.8932450222149086,0.8932450222149086,0.8932450222149086,0.9025295623925509,24308,24308,24308,48616,CAR-RA,36.78718676511198
revision,socfb_middlebury45,socfb-Middlebury45,social,2,enhanced_local,fsw,0.9526540010367368,0.9550565824605297,0.8943146289287477,0.8943146289287477,0.8943146289287477,0.9034093542984067,24308,24308,24308,48616,FSW,36.78718676511198
revision,socfb_middlebury45,socfb-Middlebury45,social,3,enhanced_local,ra_cni,0.9178628445487583,0.9273336725748917,0.8526822445285502,0.8526822445285502,0.8526822445285502,0.8633633124879287,24308,24308,24308,48616,RA-CNI,36.28478536801413
revision,socfb_middlebury45,socfb-Middlebury45,social,3,enhanced_local,ia2,0.9538087186205204,0.9553760184930223,0.8926690801382261,0.8926690801382261,0.8926690801382261,0.9020738928231908,24308,24308,24308,48616,IA2,36.28478536801413
revision,socfb_middlebury45,socfb-Middlebury45,social,3,enhanced_local,car_ra,0.9431221195559664,0.9439725965557638,0.8904064505512589,0.8904064505512589,0.8904064505512589,0.9000317961774722,24308,24308,24308,48616,CAR-RA,36.28478536801413
revision,socfb_middlebury45,socfb-Middlebury45,social,3,enhanced_local,fsw,0.9519467061653484,0.9539127777973797,0.8888020404805003,0.8888020404805003,0.8888020404805003,0.8985155251929455,24308,24308,24308,48616,FSW,36.28478536801413
revision,socfb_middlebury45,socfb-Middlebury45,social,4,enhanced_local,ra_cni,0.91827247650155,0.9283981640270689,0.8546980417969393,0.8546980417969393,0.8546980417969393,0.8651069397445716,24308,24308,24308,48616,RA-CNI,36.35488935606554
revision,socfb_middlebury45,socfb-Middlebury45,social,4,enhanced_local,ia2,0.9550880505849543,0.9572352515218754,0.8951374033240086,0.8951374033240086,0.8951374033240086,0.9042921748917159,24308,24308,24308,48616,IA2,36.35488935606554
