benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,ego_facebook,ego-Facebook,social,enhanced_local,ra_cni,RA-CNI,0.9891603249744568,0.00070702327638483,0.9905446267591987,0.0006179568779931608,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9573168049252263,0.0018911631294604124
revision,ego_facebook,ego-Facebook,social,enhanced_local,ia2,IA2,0.9935037047959672,0.0005680629078661474,0.9942268562815977,0.0004789861207641596,0.9765784644260531,0.0012367707199478983,0.9765784644260531,0.0012367707199478983,0.9765784644260531,0.0012367707199478983,0.9790029947179283,0.0011168825785907663
revision,ego_facebook,ego-Facebook,social,enhanced_local,car_ra,CAR-RA,0.982843083021654,0.0005093378077467832,0.9833893885591589,0.000504272826834938,0.9718632715395025,0.0009402829674777117,0.9718632715395025,0.0009402829674777117,0.9718632715395025,0.0009402829674777117,0.9748311236218985,0.0008366735725206919
revision,ego_facebook,ego-Facebook,social,enhanced_local,fsw,FSW,0.9921097567114303,0.0006745559742294284,0.9930380551204344,0.0005451779458008567,0.9715782344994561,0.0015018234889465215,0.9715782344994561,0.0015018234889465215,0.9715782344994561,0.0015018234889465215,0.9745316578998235,0.001360958845398996
revision,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,ra_cni,RA-CNI,0.9176871519877411,0.0009363495096198862,0.9278133293442072,0.0006555928985277005,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8642731270959725,0.0010729558018720735
revision,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,ia2,IA2,0.9543983077191516,0.0010033417463629073,0.9562329432227008,0.0010593848420681975,0.8935897161805079,0.0019342352920987923,0.8935897161805079,0.0019342352920987923,0.8935897161805079,0.0019342352920987923,0.9029029683256773,0.0017568946442262183
revision,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,car_ra,CAR-RA,0.9434023869774025,0.0008248841678217364,0.9442866263188145,0.0009198642637808659,0.891606808901377,0.0013943340315805354,0.891606808901377,0.0013943340315805354,0.8916068089013771,0.001394334031580547,0.9011161481556715,0.0012599265208422623
revision,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,fsw,FSW,0.9529007079422576,0.0011815400542603868,0.9547623300940273,0.000980647841536144,0.8905865469877158,0.0026159653104369926,0.8905865469877158,0.0026159653104369926,0.890586546987716,0.002615965310436977,0.9001655454292585,0.002315660770972921
revision,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,ra_cni,RA-CNI,0.9815997989470271,0.003175720955651284,0.9815060771334185,0.0030986198165334974,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9671883432271992,0.005223894242991951,0.9723512695160966,0.00444141446985952
revision,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,ia2,IA2,0.96669194102798,0.0037090520728800783,0.9665837024541816,0.0037356225835245543,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482353929010404,0.00500010728625985
revision,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,car_ra,CAR-RA,0.8506555928706685,0.00866155962588055,0.8505251180317852,0.00858244424909574,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.01086323811340411,0.7729087965461414,0.010863238113404132,0.8062663765787288,0.00952635450500402
revision,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,fsw,FSW,0.966183580847157,0.0036798159223167468,0.9662230906314611,0.0037088809323991122,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481813986007109,0.005002438676116369
revision,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,ra_cni,RA-CNI,0.9674197625589063,0.001821388894542799,0.9670660826970107,0.0018671682021976146,0.9406887575770966,0.003566739250573641,0.9406887575770966,0.003566739250573641,0.9406887575770966,0.003566739250573641,0.9492950335716435,0.0030352439965297723
revision,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,ia2,IA2,0.9364120943953157,0.002623514845212958,0.9364088635666066,0.002585165814859129,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904089964833538,0.004355616295850661
revision,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,car_ra,CAR-RA,0.7405148813556999,0.0038597346842312295,0.7404595822042825,0.0038967463871271016,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.6573689960195196,0.003630696992598243,0.697129596340284,0.003432784106769627
revision,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,fsw,FSW,0.9359854343793182,0.002571915408705478,0.936189912537387,0.0025576607676619347,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9040360053209355,0.004344641381961044
revision,email_eu_core,email-Eu-core,communication,enhanced_local,ra_cni,RA-CNI,0.9298161505142806,0.0029827732129131443,0.9371387519445975,0.0027955053987090825,0.8653092187163212,0.004548238892930065,0.8653092187163212,0.004548238892930065,0.8653092187163212,0.004548238892930065,0.8795261880942231,0.0039001868832720696
revision,email_eu_core,email-Eu-core,communication,enhanced_local,ia2,IA2,0.9506721634668682,0.0022457523858117226,0.9514097889755885,0.002298525821625001,0.8905102911613462,0.003676606479071337,0.8905102911613462,0.003676606479071337,0.8905102911613462,0.003676606479071337,0.9037036176157425,0.003273407416751218
revision,email_eu_core,email-Eu-core,communication,enhanced_local,car_ra,CAR-RA,0.9303614283667718,0.0023878705338908845,0.9298279549283418,0.0022421314277944375,0.8850056085619646,0.0015292271156049804,0.8850056085619646,0.0015292271156049804,0.8850056085619646,0.0015292271156049843,0.8989738982859485,0.0013026429044705684
revision,email_eu_core,email-Eu-core,communication,enhanced_local,fsw,FSW,0.9399243951367581,0.0018429384686795664,0.9417941712951367,0.0013609450711917037,0.8730684992367956,0.0027082168556681035,0.8730684992367956,0.0027082168556681035,0.8730684992367956,0.0027082168556681035,0.8879763449377425,0.0023408068379924046
revision,email_univ,email-univ,communication,enhanced_local,ra_cni,RA-CNI,0.9284111943659499,0.002980259236628146,0.9264964884170157,0.00408668591887941,0.8643185914767606,0.007951031504353074,0.8643185914767606,0.007951031504353074,0.8643185914767606,0.007951031504353074,0.8844606034324605,0.0063219275724454415
revision,email_univ,email-univ,communication,enhanced_local,ia2,IA2,0.8552034107988001,0.004137220554493998,0.855663864651415,0.003532444586813186,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668418,0.8224892870255388,0.003959954731598939
revision,email_univ,email-univ,communication,enhanced_local,car_ra,CAR-RA,0.6921969042649125,0.011911001616895551,0.6917919547460836,0.012484325671701046,0.6242202587871766,0.011346794211446385,0.6242202587871766,0.011346794211446385,0.6242202587871766,0.011346794211446385,0.6753576936838618,0.01041823092414452
revision,email_univ,email-univ,communication,enhanced_local,fsw,FSW,0.8548110812060253,0.003955711412729858,0.8542993415026956,0.0035381387198451116,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668466,0.7893030342045406,0.004979394148668418,0.8226828248658592,0.004118866808782926
revision,power_grid,power-grid,infrastructure,enhanced_local,ra_cni,RA-CNI,0.7594331589153438,0.008604773011949883,0.760136347858394,0.009530549945386156,0.6680545637645336,0.021677129102645656,0.6680545637645336,0.021677129102645656,0.6680545637645336,0.021677129102645656,0.729203168580656,0.017434716113368998
revision,power_grid,power-grid,infrastructure,enhanced_local,ia2,IA2,0.6807162740465162,0.013404860353623777,0.6811791055779511,0.013029050321776453,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.6739914129249406,0.012656173961145274
revision,power_grid,power-grid,infrastructure,enhanced_local,car_ra,CAR-RA,0.5359782111141628,0.005535801283272134,0.5359782111141629,0.005535801283271983,0.5272049803167628,0.0030029608565397426,0.5272049803167628,0.0030029608565397426,0.5272049803167628,0.0030029608565397426,0.5666685365124391,0.0046976617872061055
revision,power_grid,power-grid,infrastructure,enhanced_local,fsw,FSW,0.6800965665115702,0.012672921591569759,0.6810226070940485,0.012854585670132548,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.610625286093564,0.014625786521945029,0.6739107792277078,0.012821582945627916
revision,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,ra_cni,RA-CNI,0.7954230185661394,0.03528282081016108,0.7939689060188609,0.035321707792464394,0.7322115384615385,0.054772624999486014,0.7322115384615385,0.054772624999486014,0.7322115384615385,0.054772624999486014,0.8015315799003522,0.04226848295335782
revision,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,ia2,IA2,0.702548076923077,0.03528318840291703,0.702548076923077,0.03528318840291703,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.720972333841381,0.04299114156306007
revision,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,car_ra,CAR-RA,0.5109134615384615,0.004301306382244229,0.5109134615384615,0.004301306382244229,0.5110576923076924,0.04913499171916692,0.5110576923076924,0.04913499171916692,0.5110576923076924,0.04913499171916692,0.5319558858048711,0.05662531640089367
revision,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,fsw,FSW,0.702548076923077,0.03528318840291703,0.702548076923077,0.03528318840291703,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.6357211538461538,0.051459042030111736,0.720972333841381,0.04299114156306007
