benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count
revision,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,0.5993684250861406,0.9861388059492766,0.9883465080737525,0.9479809976247031,0.9479809976247031,0.9479809976247031,0.9531645277653592,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,0.48467993503436446,0.9905359081455567,0.9923078622468839,0.9677553444180522,0.9677553444180522,0.9677553444180522,0.9708778857041257,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.46130587812513113,0.9918949110529702,0.9933290406847174,0.9684085510688836,0.9684085510688836,0.9684085510688836,0.9715799817416534,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,32.89189394097775,0.9944506141526925,0.995198816512545,0.973396674584323,0.973396674584323,0.973396674584323,0.9761667961388251,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l3,steps,3.0,True,32.89189394097775,0.995554220858211,0.9961823043906319,0.9761282660332542,0.9761282660332542,0.9761282660332542,0.9786493077936171,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,32.89189394097775,0.9848031114865106,0.9898938662611922,0.9614608076009501,0.9614608076009501,0.9614608076009501,0.9646170226403127,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,124.66164423990995,0.9929737416967324,0.9940351184968488,0.9673396674584323,0.9673396674584323,0.9673396674584323,0.9707058768509723,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l3,steps,5.0,False,124.66164423990995,0.994907023063542,0.9956888308151048,0.9741686460807601,0.9741686460807601,0.9741686460807601,0.9768648410534833,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,124.66164423990995,0.9839966279152123,0.9893995446172161,0.9600950118764846,0.9600950118764846,0.9600950118764846,0.963333116101153,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,189.33085227990523,0.9914072037437733,0.9925887192438544,0.9608669833729216,0.9608669833729216,0.9608669833729216,0.9649076888436442,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l3,steps,7.0,False,189.33085227990523,0.9942977078355149,0.9951796970650131,0.9721496437054632,0.9721496437054632,0.9721496437054632,0.9750404085723974,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,189.33085227990523,0.983996917800979,0.9894002428190994,0.9600950118764846,0.9600950118764846,0.9600950118764846,0.963333116101153,16840,16840,16840,33680
revision,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,0.46080004796385765,0.9871249889190663,0.9889210307977422,0.9482154522240038,0.9482154522240038,0.9482154522240038,0.9534665989242274,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,0.4517844459041953,0.9916679656180367,0.9930118777082806,0.9671595700457272,0.9671595700457272,0.9671595700457272,0.9704609171974224,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.4596114079467952,0.993063208796743,0.9940807383914708,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9718952160771063,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,33.33831953397021,0.995014678143835,0.9956767670778713,0.9739889542134331,0.9739889542134331,0.9739889542134331,0.9767290278984254,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l3,steps,3.0,True,33.33831953397021,0.9960675178161966,0.9965986388080228,0.9768988657283687,0.9768988657283687,0.9768988657283687,0.9793717931643768,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,33.33831953397021,0.9858571773622331,0.9905321378513954,0.9637745709365164,0.9637745709365164,0.9637745709365164,0.9667592613584669,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,145.96597682219,0.9933776287731131,0.9942918355330064,0.9664469386543144,0.9664469386543144,0.9664469386543144,0.9699626865576204,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l3,steps,5.0,False,145.96597682219,0.9953841066473575,0.9960395471981303,0.9755329888948275,0.9755329888948275,0.9755329888948275,0.9781112272074821,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,145.96597682219,0.9849970477295107,0.9899533743592589,0.9625868519508284,0.9625868519508284,0.9625868519508284,0.9656334707562897,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,189.36325690196827,0.9917262033660574,0.992736547180719,0.9597957123344617,0.9597957123344617,0.9597957123344617,0.9640047124620416,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l3,steps,7.0,False,189.36325690196827,0.994752283750543,0.9954934602611987,0.9722073757349011,0.9722073757349011,0.9722073757349011,0.9751372784514851,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,189.36325690196827,0.9849968890668931,0.9899531557044186,0.9625868519508284,0.9625868519508284,0.9625868519508284,0.9656334707562897,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,0.46545956609770656,0.9875711907499866,0.98920111706808,0.9473246629847378,0.9473246629847378,0.9473246629847378,0.9527397522780761,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.01,False,0.45389442099258304,0.9920357261450637,0.993290787827179,0.9670407981471584,0.9670407981471584,0.9670407981471584,0.9703982120625002,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.4605032899416983,0.9932478139181329,0.9942294042860673,0.9694162361185343,0.9694162361185343,0.9694162361185343,0.9725971028376967,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,33.36555948667228,0.9953170667558764,0.9958846496405855,0.9747609715541303,0.9747609715541303,0.9747609715541303,0.9774430245842712,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l3,steps,3.0,True,33.36555948667228,0.9962117854055104,0.9966779276378098,0.9777302690183503,0.9777302690183503,0.9777302690183503,0.9801208764738425,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,33.36555948667228,0.9847867325120107,0.9904094442724652,0.9630025535958192,0.9630025535958192,0.9630025535958192,0.965888393620671,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l3,steps,5.0,False,137.5785943157971,0.9938302604633303,0.9946246176198538,0.9682285171328464,0.9682285171328464,0.9682285171328464,0.9715786276135352,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l3,steps,5.0,False,137.5785943157971,0.9956374873803373,0.9962231432034628,0.9757705326919651,0.9757705326919651,0.9757705326919651,0.9783467850156087,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l3,steps,5.0,False,137.5785943157971,0.9840600432859193,0.9898992907898515,0.9614585189144248,0.9614585189144248,0.9614585189144248,0.9644652669621409,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,LRW-l3,steps,7.0,False,190.6613959032111,0.9922729425282254,0.9931420954824001,0.9620523784072689,0.9620523784072689,0.9620523784072689,0.9660487726363484,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,SRW-l3,steps,7.0,False,190.6613959032111,0.9950814867081714,0.9957405437574165,0.9732169368727359,0.9732169368727359,0.9732169368727359,0.9760589853617675,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,PFP-l3,steps,7.0,False,190.6613959032111,0.9840597266117487,0.9898988852203896,0.9614585189144248,0.9614585189144248,0.9614585189144248,0.9644652669621409,16839,16839,16839,33678
revision,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,LPI-beta-0.001,beta,0.1,False,0.45003368705511093,0.9874247337551124,0.9892921568321874,0.9487499257675633,0.9487499257675633,0.9487499257675633,0.9539490262955368,16839,16839,16839,33678
