benchmark,family,method_id,method,parameter,parameter_value,is_primary,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks
revision,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,8,0.9100954747842206,0.07928748621031644,0.9126245103889066,0.07955342235005605,0.8569103750221312,0.10034150242436173,0.8569103750221312,0.10034150242436173,0.8569103750221312,0.10034150242436173,0.8805969445254527,0.07884795356351641
revision,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,8,0.9159750625304448,0.08094432028379646,0.9176723496264376,0.08127591010896631,0.8653226337645089,0.10289574497326523,0.8653226337645089,0.10289574497326523,0.8653226337645089,0.10289574497326523,0.8884614298653514,0.08026277059300058
revision,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,8,0.9180014231522623,0.08175590942330883,0.9192026666445591,0.0819491604660309,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8670158003438897,0.1032455400539216,0.8901486451808709,0.08038458751238603
revision,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,8,0.8847370993273567,0.11854163569129264,0.8862777854311675,0.11704307648836809,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8291708891563425,0.1286779258779216,0.8566941295253458,0.10236258643225038
revision,quasi_local_walk,srw,SRW-l3,steps,3.0,True,8,0.9220421872498585,0.08349936810664456,0.9222991501679797,0.08360755785513355,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8721053132555734,0.105039567062639,0.8948085647439017,0.08175266129183625
revision,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,8,0.9085633375784765,0.07938369572537174,0.9138578040347058,0.08022344623616287,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.861193039359571,0.10215925771191256,0.8831935409531906,0.08026865388185886
revision,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,8,0.9181392263631925,0.07238573920050687,0.9208842583897967,0.0695430024190793,0.8634621511772385,0.09090612168059685,0.8634621511772385,0.09090612168059685,0.8634621511772385,0.09090612168059681,0.8848517009462322,0.07377807546925741
revision,quasi_local_walk,srw,SRW-l5,steps,5.0,False,8,0.9489001648958835,0.04304459771186565,0.9491872062898912,0.04256425721125203,0.8986464363469903,0.06186761661054391,0.8986464363469903,0.06186761661054391,0.8986464363469903,0.06186761661054391,0.9158122591544557,0.049252048536686195
revision,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,8,0.9342717983645563,0.04517582506460977,0.9391442857006005,0.04310059021116742,0.8861744608785778,0.06305916391559054,0.8861744608785778,0.06305916391559054,0.8861744608785778,0.06305916391559054,0.9028876936149545,0.05281626262704797
revision,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,8,0.9294016562713894,0.056072531595197525,0.9329382880719933,0.05057152985658524,0.8779514932602454,0.07053577381961876,0.8779514932602454,0.07053577381961876,0.8779514932602454,0.07053577381961876,0.8946909510571461,0.06422622033103767
revision,quasi_local_walk,srw,SRW-l7,steps,7.0,False,8,0.9580758280132347,0.02980391740369699,0.9586620046937477,0.02790396183562231,0.9112395948518983,0.04678711002900316,0.9112395948518983,0.04678711002900316,0.9112395948518983,0.04678711002900317,0.9248227842634391,0.041363513425539664
revision,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,8,0.9460368488323054,0.03588220774505347,0.9505956561402958,0.031595232022182,0.9011436396902427,0.05038762751770696,0.9011436396902427,0.05038762751770696,0.9011436396902426,0.050387627517706965,0.9144160804167618,0.046079763397738525
