benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,method,family_scoring_seconds
revision,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,0.9919297062449398,0.9933290406847174,0.9684085510688836,0.9684085510688836,0.9684085510688836,0.9715799817416534,16840,16840,16840,33680,LPI-beta-0.001,0.47863232996314764
revision,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,0.9930830413185718,0.9940807383914708,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9718952160771063,16839,16839,16839,33678,LPI-beta-0.001,0.469201376195997
revision,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,0.9932759912344405,0.9942294042860673,0.9694162361185343,0.9694162361185343,0.9694162361185343,0.9725971028376967,16839,16839,16839,33678,LPI-beta-0.001,0.4613747629337013
revision,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,0.992963100030944,0.9941180719421048,0.9692974642199655,0.9692974642199655,0.9692974642199655,0.972442608311458,16839,16839,16839,33678,LPI-beta-0.001,0.4613414569757879
revision,ego_facebook,ego-Facebook,social,5,quasi_local_path,lpi,0.9921643630423062,0.9933319213873356,0.9657343072629015,0.9657343072629015,0.9657343072629017,0.9692627851396168,16839,16839,16839,33678,LPI-beta-0.001,0.4558580913580954
revision,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_path,lpi,0.9460725066033228,0.9495244654748727,0.8796692446931051,0.8796692446931051,0.8796692446931051,0.8897614502923281,24308,24308,24308,48616,LPI-beta-0.001,1.6147619560360909
revision,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_path,lpi,0.9467416665546787,0.9505042289006296,0.8836597005101201,0.8836597005101201,0.8836597005101201,0.893323127652973,24308,24308,24308,48616,LPI-beta-0.001,1.506308529060334
revision,socfb_middlebury45,socfb-Middlebury45,social,3,quasi_local_path,lpi,0.9464094226030545,0.9495115499680488,0.8792167187757117,0.8792167187757117,0.8792167187757117,0.8894175935926848,24308,24308,24308,48616,LPI-beta-0.001,1.744226740207523
revision,socfb_middlebury45,socfb-Middlebury45,social,4,quasi_local_path,lpi,0.9472436405080389,0.9511171802550716,0.8832483133124898,0.8832483133124898,0.8832483133124899,0.8929784695505864,24308,24308,24308,48616,LPI-beta-0.001,1.4206702183000743
revision,socfb_middlebury45,socfb-Middlebury45,social,5,quasi_local_path,lpi,0.9472494649799292,0.9505027433014859,0.8805282428929938,0.8805282428929938,0.8805282428929938,0.8906389872155402,24307,24307,24307,48614,LPI-beta-0.001,1.4139322340488434
