benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l3,0.9948354923055733,0.0004562197243207621,0.9955508872740515,0.00041395048520697123,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.9766210712412006,0.0012661204243965116
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,srw,SRW-l3,0.9958544778279746,0.00033494302695099497,0.9964413509130627,0.0002957342377700685,0.976637851080634,0.001452466041376812,0.976637851080634,0.001452466041376812,0.976637851080634,0.001452466041376812,0.9791224803335761,0.001298873418803606
revision,ego_facebook,ego-Facebook,social,quasi_local_walk,pfp,PFP-l3,0.9848202220551201,0.0007040635721151072,0.9901373430402385,0.00039068838601743366,0.9628010991055573,0.0014089181039321046,0.9628010991055573,0.0014089181039321046,0.9628010991055573,0.0014089181039321046,0.9657680081092627,0.0012826851213385223
revision,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,lrw,LRW-l3,0.9318202147275791,0.0010197811671464332,0.9386583006402622,0.0008159599907308222,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8663227449159248,0.001547572405888284,0.8766586473051895,0.0014071187327561348
revision,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,srw,SRW-l3,0.9514148095183808,0.0009788946922131404,0.9554067386339689,0.000937237260229134,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258782129,0.8905042888422781,0.0019519406258781925,0.8996724750580294,0.0017740682802072445
revision,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,pfp,PFP-l3,0.9181404715493571,0.002466114279895209,0.9348234775639359,0.0015254488969208607,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727953,0.8639531583809943,0.0022612369554727884,0.8723759583934264,0.0022926732744357695
revision,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,0.9534237051067892,0.004969398233179982,0.9524259459944332,0.005174745511766024,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9137614678899082,0.008258820479784672,0.9274802460168964,0.007021024090259118
revision,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,srw,SRW-l3,0.9830306537905141,0.0028679149873342786,0.9826687022313839,0.0029212844917775403,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9677280086346466,0.0052238942429918955,0.9729435889688958,0.004400893506398309
revision,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,pfp,PFP-l3,0.9810902095099152,0.0039359048233712475,0.9815711689944895,0.0032541197698459333,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9675121424716675,0.00478753483350607,0.9724936590610757,0.004161737124625949
revision,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,lrw,LRW-l3,0.9259987412329919,0.0025691869432390288,0.924766876376966,0.002559642283333407,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8718532274141836,0.004244358082872361,0.8900501559926507,0.0036525645555173123
revision,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,srw,SRW-l3,0.96873017319694,0.0019368896998664244,0.9681850719600694,0.001930522277068609,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.950180722407665,0.0029382286696863743
revision,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,pfp,PFP-l3,0.9677402512371375,0.0017826602868789882,0.9676000913661834,0.0018889790119484048,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9416164587478273,0.0034369754141358165,0.9500543820844639,0.002915123271194275
revision,email_eu_core,email-Eu-core,communication,quasi_local_walk,lrw,LRW-l3,0.9495116283884073,0.002234824735517467,0.9530385037969789,0.002242163037122082,0.8850056305563253,0.003890970685675957,0.8850056305563253,0.003890970685675957,0.8850056305563253,0.0038909706856759168,0.8978726624948958,0.003140238028989838
revision,email_eu_core,email-Eu-core,communication,quasi_local_walk,srw,SRW-l3,0.9564370435593714,0.0020375953022432097,0.958994949449236,0.0017956134844113658,0.8942239069902478,0.0038401460079731027,0.8942239069902478,0.0038401460079731027,0.8942239069902478,0.0038401460079731027,0.9065706369499438,0.00332120537717042
revision,email_eu_core,email-Eu-core,communication,quasi_local_walk,pfp,PFP-l3,0.9190346347097382,0.004396914888918923,0.9310558676551677,0.0027044039172363765,0.8574842410405973,0.004222545070435395,0.8574842410405973,0.004222545070435395,0.8574842410405973,0.004222545070435395,0.8706166137150652,0.00477507493085725
revision,email_univ,email-univ,communication,quasi_local_walk,lrw,LRW-l3,0.9303793470329091,0.00286446910042387,0.9252628218090744,0.003799193187985857,0.8640879146817733,0.006292327853434295,0.8640879146817733,0.006292327853434295,0.8640879146817733,0.006292327853434295,0.885034419759409,0.005293075987391968
revision,email_univ,email-univ,communication,quasi_local_walk,srw,SRW-l3,0.9387230902015119,0.004515979652769481,0.933973033365336,0.0052661897208963705,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901544,0.8738114780481524,0.005955203079901563,0.893517857631141,0.004965051257145761
revision,email_univ,email-univ,communication,quasi_local_walk,pfp,PFP-l3,0.9189542071146828,0.006502983936222506,0.9233805424275611,0.005368930000253508,0.8638567014291233,0.0041683906480819,0.8638567014291233,0.0041683906480819,0.8638567014291232,0.0041683906480819094,0.8794687258825542,0.006883583132742741
revision,power_grid,power-grid,infrastructure,quasi_local_walk,lrw,LRW-l3,0.6906562754971034,0.0027978880663491116,0.6910452800742162,0.0029736504325912454,0.6166749061613109,0.014002583001200419,0.6166749061613109,0.014002583001200419,0.6166749061613109,0.014002583001200419,0.6800944942820879,0.011353358976334986
revision,power_grid,power-grid,infrastructure,quasi_local_walk,srw,SRW-l3,0.7707283825985962,0.01056767097158248,0.771159173254168,0.010777306142703183,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7384819683867189,0.0193821087969369
revision,power_grid,power-grid,infrastructure,quasi_local_walk,pfp,PFP-l3,0.769255908427667,0.010074311893584934,0.7709381199930143,0.010617905646602843,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.6783301290854161,0.023749985010262337,0.7376475289695799,0.019129800516301268
revision,power_1138_bus,power-1138-bus,infrastructure,quasi_local_walk,lrw,LRW-l3,0.7012713903275009,0.04006043139377223,0.709473667483358,0.04189308376254162,0.6417788461538462,0.045130699106585,0.6417788461538462,0.045130699106585,0.6417788461538462,0.045130699106585,0.7197413391104373,0.03947887240348414
revision,power_1138_bus,power-1138-bus,infrastructure,quasi_local_walk,srw,SRW-l3,0.8114188673055786,0.035515664793876724,0.8115641815366125,0.036086089100581684,0.7539903846153846,0.05614295781554535,0.7539903846153846,0.05614295781554535,0.7539903846153846,0.05614295781554539,0.8179787882152434,0.04298800800436615
