benchmark,network_id,family,analysis_family,metric,method_id,value
standard,ca_grqc,quasi_local_path,quasi_local_path,average_precision,lpi,0.9820305938209868
standard,ca_grqc,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.9810902095099152
standard,ca_grqc,quasi_local_walk,quasi_local_walk,average_precision,srw,0.9830306537905142
standard,ca_hepth,quasi_local_path,quasi_local_path,average_precision,lpi,0.9678464769819755
standard,ca_hepth,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.9677402512371375
standard,ca_hepth,quasi_local_walk,quasi_local_walk,average_precision,srw,0.96873017319694
standard,ego_facebook,quasi_local_path,quasi_local_path,average_precision,lpi,0.992660597056271
standard,ego_facebook,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.9848202220551201
standard,ego_facebook,quasi_local_walk,quasi_local_walk,average_precision,srw,0.9958544778279746
standard,email_eu_core,quasi_local_path,quasi_local_path,average_precision,lpi,0.94318227132825
standard,email_eu_core,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.9190346347097383
standard,email_eu_core,quasi_local_walk,quasi_local_walk,average_precision,srw,0.9564370435593714
standard,email_univ,quasi_local_path,quasi_local_path,average_precision,lpi,0.9290820504174946
standard,email_univ,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.918954207114683
standard,email_univ,quasi_local_walk,quasi_local_walk,average_precision,srw,0.9387230902015119
standard,power_1138_bus,quasi_local_path,quasi_local_path,average_precision,lpi,0.8125898407148406
standard,power_1138_bus,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.8094707960241946
standard,power_1138_bus,quasi_local_walk,quasi_local_walk,average_precision,srw,0.8114188673055786
standard,power_grid,quasi_local_path,quasi_local_path,average_precision,lpi,0.7698922947811839
standard,power_grid,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.769255908427667
standard,power_grid,quasi_local_walk,quasi_local_walk,average_precision,srw,0.7707283825985962
standard,socfb_middlebury45,quasi_local_path,quasi_local_path,average_precision,lpi,0.9467272601170965
standard,socfb_middlebury45,quasi_local_walk,quasi_local_walk,average_precision,pfp,0.9181404715493571
standard,socfb_middlebury45,quasi_local_walk,quasi_local_walk,average_precision,srw,0.9514148095183808
standard,ca_grqc,quasi_local_path,quasi_local_path,roc_auc,lpi,0.981985630862454
standard,ca_grqc,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9815711689944895
standard,ca_grqc,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.9826687022313841
standard,ca_hepth,quasi_local_path,quasi_local_path,roc_auc,lpi,0.9677248014786739
standard,ca_hepth,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9676000913661834
standard,ca_hepth,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.9681850719600694
standard,ego_facebook,quasi_local_path,quasi_local_path,roc_auc,lpi,0.9938178353383392
standard,ego_facebook,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9901373430402385
standard,ego_facebook,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.9964413509130627
standard,email_eu_core,quasi_local_path,quasi_local_path,roc_auc,lpi,0.9470129401040375
standard,email_eu_core,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9310558676551677
standard,email_eu_core,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.958994949449236
standard,email_univ,quasi_local_path,quasi_local_path,roc_auc,lpi,0.9291380173498466
standard,email_univ,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9233805424275611
standard,email_univ,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.933973033365336
standard,power_1138_bus,quasi_local_path,quasi_local_path,roc_auc,lpi,0.8127876814441567
standard,power_1138_bus,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.8113558212370562
standard,power_1138_bus,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.8115641815366125
standard,power_grid,quasi_local_path,quasi_local_path,roc_auc,lpi,0.7709223929989432
standard,power_grid,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.7709381199930143
standard,power_grid,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.771159173254168
standard,socfb_middlebury45,quasi_local_path,quasi_local_path,roc_auc,lpi,0.9502320335800217
standard,socfb_middlebury45,quasi_local_walk,quasi_local_walk,roc_auc,pfp,0.9348234775639359
standard,socfb_middlebury45,quasi_local_walk,quasi_local_walk,roc_auc,srw,0.9554067386339687
