benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,degree_based,pa,0.8528709810164854,0.8406426066767847,0.7581353919239905,0.7581353919239905,0.7581353919239905,0.7769481155127518,16840,16840,16840,33680,6536,4265,31409,0.9325712589073634,124,1284.0,1,0,1,1,False,PA,0.0397841390222311
standard,ego_facebook,ego-Facebook,social,2,degree_based,pa,0.8535112209824577,0.8391808179638466,0.7599026070431736,0.7599026070431736,0.7599026070431736,0.7787826227024822,16839,16839,16839,33678,6495,4227,31410,0.9326563335114911,130,1258.0,6,3,3,2,True,PA,0.03205133741721511
standard,ego_facebook,ego-Facebook,social,3,degree_based,pa,0.8498350195430742,0.8370497726234766,0.7574083971732288,0.7574083971732288,0.7574083971732288,0.7761086844740137,16839,16839,16839,33678,6440,4253,31491,0.9350614644575094,128,1225.0,10,5,5,5,True,PA,0.03217111434787512
standard,ego_facebook,ego-Facebook,social,4,degree_based,pa,0.8563205481857242,0.8443582859733122,0.7632282202031,0.7632282202031,0.7632282202031,0.7815668991629956,16839,16839,16839,33678,6399,4204,31483,0.9348239206603718,123,1242.0,15,11,4,15,False,PA,0.060835412703454494
standard,ego_facebook,ego-Facebook,social,5,degree_based,pa,0.8515175607381011,0.8368164485120875,0.7558049765425501,0.7558049765425501,0.7558049765425502,0.7749815679991344,16839,16839,16839,33678,6254,4205,31629,0.9391590949581329,150,1270.0,4,0,4,4,False,PA,0.03445794992148876
standard,socfb_middlebury45,socfb-Middlebury45,social,1,degree_based,pa,0.7744733960155673,0.7929145482177884,0.7159782787559651,0.7159782787559651,0.715978278755965,0.7293915136080327,24308,24308,24308,48616,9477,6697,45836,0.942817179529373,51,5073.0,5,1,4,1,True,PA,0.04167936369776726
standard,socfb_middlebury45,socfb-Middlebury45,social,2,degree_based,pa,0.7732368504644416,0.7910361369771385,0.7145384235642587,0.7145384235642587,0.7145384235642586,0.7280402611289423,24308,24308,24308,48616,9696,6731,45651,0.9390118479512918,47,5040.0,39,21,18,29,True,PA,0.07409338699653745
standard,socfb_middlebury45,socfb-Middlebury45,social,3,degree_based,pa,0.7744218939082262,0.7923424944169267,0.715813723876913,0.715813723876913,0.715813723876913,0.7293803325894176,24308,24308,24308,48616,9613,6712,45715,0.9403282869837091,52,5016.0,17,9,8,5,True,PA,0.04558188188821077
standard,socfb_middlebury45,socfb-Middlebury45,social,4,degree_based,pa,0.7747398175039206,0.7937240449338532,0.7177472437057759,0.7177472437057759,0.7177472437057759,0.7308774754027743,24308,24308,24308,48616,9476,6717,45857,0.943249136086885,46,5100.0,23,11,12,14,True,PA,0.03842708608135581
standard,socfb_middlebury45,socfb-Middlebury45,social,5,degree_based,pa,0.7714197103269232,0.7905629235987205,0.713457028839429,0.713457028839429,0.713457028839429,0.7268126230246623,24307,24307,24307,48614,9407,6661,45868,0.9435142140124244,46,5040.0,44,21,23,14,True,PA,0.04907441604882479
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,degree_based,pa,0.8569582593909071,0.8363152298354298,0.7485159201295197,0.7485159201295197,0.7485159201295197,0.7791799342838417,1853,1853,1853,3706,470,300,3536,0.9541284403669725,183,28.0,39,21,18,15,True,PA,0.00956693384796381
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,degree_based,pa,0.8663217621545126,0.8480297261569386,0.7636265515380464,0.7636265515380464,0.7636265515380464,0.792635769269831,1853,1853,1853,3706,503,285,3488,0.9411764705882353,203,30.0,60,33,27,39,True,PA,0.00880622211843729
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,degree_based,pa,0.8598408963029371,0.836738399742079,0.7571505666486779,0.7571505666486779,0.7571505666486779,0.7867967708962204,1853,1853,1853,3706,510,311,3507,0.9463032919589854,194,30.0,44,29,15,24,True,PA,0.008968661073595285
standard,ca_grqc,ca-GrQc,scientific_collaboration,4,degree_based,pa,0.8655570508299426,0.8435726082964018,0.7641662169454938,0.7641662169454938,0.7641662169454938,0.793316838546253,1853,1853,1853,3706,484,314,3536,0.9541284403669725,218,30.0,49,23,26,48,True,PA,0.007771215867251158
standard,ca_grqc,ca-GrQc,scientific_collaboration,5,degree_based,pa,0.8657660759867891,0.8463018066413502,0.7652455477603886,0.7652455477603886,0.7652455477603884,0.7938602239087873,1853,1853,1853,3706,513,321,3514,0.9481921208850512,193,28.0,45,27,18,23,True,PA,0.00933667877689004
standard,ca_hepth,ca-HepTh,scientific_collaboration,1,degree_based,pa,0.8312217888461013,0.8244042599330168,0.7455163883735312,0.7455163883735312,0.7455163883735311,0.7698140732108213,3234,3234,3234,6468,408,294,6354,0.9823747680890538,339,25.0,37,18,19,29,True,PA,0.013070307206362486
standard,ca_hepth,ca-HepTh,scientific_collaboration,2,degree_based,pa,0.8371707159950738,0.8259921638864126,0.7464440321583179,0.7464440321583179,0.7464440321583178,0.7716941075770751,3234,3234,3234,6468,398,297,6367,0.9843846629560915,333,24.0,143,59,84,13,True,PA,0.014317736029624939
standard,ca_hepth,ca-HepTh,scientific_collaboration,3,degree_based,pa,0.8368249450563778,0.8291285311560955,0.7520098948670377,0.7520098948670377,0.7520098948670376,0.7759582726545614,3234,3234,3234,6468,427,283,6324,0.9777365491651205,351,24.0,140,62,78,13,True,PA,0.0165768307633698
standard,ca_hepth,ca-HepTh,scientific_collaboration,4,degree_based,pa,0.8369773687788266,0.8248917462076751,0.743661100803958,0.743661100803958,0.743661100803958,0.769304480224707,3234,3234,3234,6468,404,295,6359,0.983147804576376,324,24.0,161,78,83,39,True,PA,0.010176967363804579
standard,ca_hepth,ca-HepTh,scientific_collaboration,5,degree_based,pa,0.8342137977950215,0.8225243293598178,0.7438911227961645,0.7438911227961645,0.7438911227961644,0.7691468482047428,3233,3233,3233,6466,394,298,6370,0.9851531085678936,333,24.0,151,76,75,27,True,PA,0.009354279842227697
standard,email_eu_core,email-Eu-core,communication,1,degree_based,pa,0.871340474294399,0.8792553771573712,0.7887931034482759,0.7887931034482759,0.7887931034482759,0.8067836523886048,3016,3016,3016,6032,2119,1062,4975,0.8247679045092838,37,780.0,9,6,3,7,True,PA,0.008091809693723917
standard,email_eu_core,email-Eu-core,communication,2,degree_based,pa,0.8575763795083575,0.8663348964672939,0.7718832891246684,0.7718832891246684,0.7718832891246685,0.7933484572617663,3016,3016,3016,6032,2045,1083,5070,0.8405172413793104,46,782.0,8,5,3,2,True,PA,0.010952526237815619
standard,email_eu_core,email-Eu-core,communication,3,degree_based,pa,0.8649689384686515,0.8707828253734283,0.78315649867374,0.78315649867374,0.7831564986737399,0.8040692821464369,3016,3016,3016,6032,2002,1101,5131,0.8506299734748011,48,800.0,5,5,0,5,False,PA,0.009042080026119947
standard,email_eu_core,email-Eu-core,communication,4,degree_based,pa,0.8655106940646581,0.8743872204124422,0.7844827586206896,0.7844827586206896,0.7844827586206896,0.8048647634392123,3016,3016,3016,6032,2059,1075,5048,0.8368700265251989,38,768.0,7,3,4,2,True,PA,0.006373054347932339
standard,email_eu_core,email-Eu-core,communication,5,degree_based,pa,0.872268225859836,0.8758536229851296,0.7840796019900498,0.7840796019900498,0.7840796019900498,0.8058469659285455,3015,3015,3015,6030,2145,1111,4996,0.8285240464344942,43,810.0,6,1,5,4,True,PA,0.008348358795046806
standard,email_univ,email-univ,communication,1,degree_based,pa,0.8142284596303259,0.8217820323216735,0.7442129629629629,0.7442129629629629,0.7442129629629628,0.7717768913762035,864,864,864,1728,327,221,1622,0.9386574074074074,49,70.0,12,7,5,1,True,PA,0.005490422714501619
standard,email_univ,email-univ,communication,2,degree_based,pa,0.8213969414393925,0.8346776138117284,0.7569444444444444,0.7569444444444444,0.7569444444444444,0.7822563191542428,864,864,864,1728,328,220,1620,0.9375,43,72.0,16,9,7,10,True,PA,0.0031164810061454773
standard,email_univ,email-univ,communication,3,degree_based,pa,0.8268560306324984,0.8450005090449245,0.7581018518518519,0.7581018518518519,0.7581018518518519,0.7825894676847931,864,864,864,1728,338,233,1623,0.9392361111111112,46,72.0,12,8,4,12,False,PA,0.004441134165972471
standard,email_univ,email-univ,communication,4,degree_based,pa,0.8236514776227681,0.8357546457047326,0.7557870370370371,0.7557870370370371,0.755787037037037,0.780526102063692,864,864,864,1728,331,230,1627,0.9415509259259259,49,70.0,17,9,8,4,True,PA,0.004109111614525318
standard,email_univ,email-univ,communication,5,degree_based,pa,0.817308110717959,0.832756196887894,0.7589803012746235,0.7589803012746235,0.7589803012746235,0.7829857427024436,863,863,863,1726,319,217,1624,0.9409038238702202,48,70.0,16,5,11,5,True,PA,0.0031981696374714375
standard,power_grid,power-grid,infrastructure,1,degree_based,pa,0.6404596458053334,0.6340440485209153,0.595166163141994,0.595166163141994,0.595166163141994,0.6330017135209163,331,331,331,662,44,33,651,0.9833836858006042,112,5.0,26,11,15,4,True,PA,0.0031845341436564922
standard,power_grid,power-grid,infrastructure,2,degree_based,pa,0.6908732588217987,0.6744233805825065,0.622356495468278,0.622356495468278,0.622356495468278,0.6684566914960891,331,331,331,662,42,31,651,0.9833836858006042,112,6.0,69,30,39,39,True,PA,0.005926240235567093
standard,power_grid,power-grid,infrastructure,3,degree_based,pa,0.644557038545996,0.6280428254579641,0.5891238670694864,0.5891238670694864,0.5891238670694864,0.6317814617358651,331,331,331,662,43,33,652,0.9848942598187311,97,6.0,73,28,45,44,True,PA,0.004633001051843166
standard,power_grid,power-grid,infrastructure,4,degree_based,pa,0.6397375739274902,0.6217586549958469,0.5770392749244713,0.5770392749244713,0.5770392749244713,0.6209275354142634,331,331,331,662,40,31,653,0.986404833836858,102,6.0,81,30,51,48,True,PA,0.004054714925587177
standard,power_grid,power-grid,infrastructure,5,degree_based,pa,0.6316030112244363,0.6291919191919192,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.6251193898752516,330,330,330,660,34,30,656,0.9939393939393939,98,6.0,72,30,42,69,True,PA,0.004687911830842495
standard,power_1138_bus,power-1138-bus,infrastructure,1,degree_based,pa,0.6080929394551375,0.6068639053254439,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5741473201760536,65,65,65,130,24,16,122,0.9384615384615385,16,6.0,12,3,9,8,True,PA,0.002837827894836664
standard,power_1138_bus,power-1138-bus,infrastructure,2,degree_based,pa,0.7202301048642799,0.7471923828125,0.703125,0.703125,0.703125,0.7307557614513037,64,64,64,128,21,16,123,0.9609375,21,6.0,14,8,6,7,True,PA,0.0019723698496818542
standard,power_1138_bus,power-1138-bus,infrastructure,3,degree_based,pa,0.6657819132781846,0.659912109375,0.578125,0.578125,0.578125,0.6355435001952158,64,64,64,128,26,19,121,0.9453125,16,6.0,15,8,7,4,True,PA,0.0023946519941091537
standard,power_1138_bus,power-1138-bus,infrastructure,4,degree_based,pa,0.7049024162367119,0.736083984375,0.703125,0.703125,0.703125,0.7321706157592455,64,64,64,128,23,17,122,0.953125,21,6.0,19,10,9,18,True,PA,0.001926857978105545
standard,power_1138_bus,power-1138-bus,infrastructure,5,degree_based,pa,0.6275895389052603,0.63671875,0.59375,0.59375,0.59375,0.6227878986445636,64,64,64,128,21,16,123,0.9609375,19,5.0,7,5,2,4,True,PA,0.0025283629074692726
