benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,ra_cni,0.9889005714092476,0.9903123906855638,0.9527315914489312,0.9527315914489312,0.9527315914489312,0.9576016553773223,16840,16840,16840,33680,20143,181,13718,0.40730403800475057,11715,1.8501485370342707,1,0,1,1,False,RA-CNI,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,ia1,0.9927471814953606,0.9937110135352427,0.9755938242280285,0.9755938242280285,0.9755938242280285,0.9780744817743152,16840,16840,16840,33680,17056,211,16835,0.49985154394299286,14740,0.0982615268329554,1,1,0,1,False,IA1,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,ia2,0.9927104310840051,0.993674331489328,0.976187648456057,0.976187648456057,0.976187648456057,0.9785936717145616,16840,16840,16840,33680,17047,212,16845,0.5001484560570071,14740,0.049137443438914026,2,0,2,2,False,IA2,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,car_cn,0.9809299280119191,0.9822731584396387,0.9703681710213776,0.9703681710213776,0.9703681710213776,0.9733056382107371,16840,16840,16840,33680,7777,2151,28054,0.832957244655582,16725,2.0,368,196,172,253,True,CAR-CN,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,car_aa,0.981325912240824,0.9825249924537778,0.9720902612826603,0.9720902612826603,0.9720902612826603,0.9748487435587865,16840,16840,16840,33680,16758,148,17070,0.5068289786223278,16725,0.39693883772732474,1,0,1,1,False,CAR-AA,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,car_ra,0.9824456789003227,0.9832808330183198,0.9718527315914489,0.9718527315914489,0.9718527315914489,0.9747539261668622,16840,16840,16840,33680,16753,152,17079,0.5070961995249407,16725,0.017319508448540705,1,0,1,1,False,CAR-RA,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,fsw,0.9911311303188157,0.9923608920904304,0.9705463182897862,0.9705463182897862,0.9705463182897862,0.9735379801377357,16840,16840,16840,33680,12174,1558,23064,0.6847980997624703,14740,0.007260231158102588,7,5,2,5,True,FSW,83.39429759513587
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,lit,0.990766356966091,0.9917074192060528,0.9667458432304038,0.9667458432304038,0.9667458432304038,0.9701678632455624,16840,16840,16840,33680,18420,230,15490,0.459916864608076,14750,0.013073782453950692,1,1,0,1,False,LIT-i2,83.39429759513587
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,ra_cni,0.9895875177282242,0.9908691907610108,0.9541540471524438,0.9541540471524438,0.9541540471524438,0.9589060105095787,16839,16839,16839,33678,20114,184,13748,0.4082190153809609,11264,1.814012587223324,1,0,1,1,False,RA-CNI,82.84517281129956
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,ia1,0.9938907069438814,0.9944558919070065,0.9767800938297999,0.9767800938297999,0.9767800938297999,0.9792239819178874,16839,16839,16839,33678,16998,213,16893,0.5016034206306788,14799,0.08695652173913043,1,1,0,1,False,IA1,82.84517281129956
