benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,distinct_score_count_mean,distinct_score_count_std,tie_group_count_mean,tie_group_count_std,tied_candidate_count_mean,tied_candidate_count_std,tied_candidate_ratio_mean,tied_candidate_ratio_std,largest_tie_group_mean,largest_tie_group_std,cutoff_tie_size_mean,cutoff_tie_size_std,cutoff_tie_positive_count_mean,cutoff_tie_positive_count_std,cutoff_tie_negative_count_mean,cutoff_tie_negative_count_std,cutoff_slots_in_tie_mean,cutoff_slots_in_tie_std,cutoff_tie_crosses_boundary_mean,cutoff_tie_crosses_boundary_std
standard,ego_facebook,ego-Facebook,social,enhanced_local,ra_cni,RA-CNI,0.98916032619981,0.0007070246459514334,0.9905446274645369,0.0006179574010135043,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9573168049252263,0.0018911631294604124,20144.8,43.6256805104518,186.6,6.107372593840988,13720.2,45.76243000540958,0.4073887144691115,0.0013596844594762,11420.8,391.1472868370688,1.0,0.0,0.2,0.4472135954999579,0.8,0.4472135954999579,1.0,0.0,0.0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,ia1,IA1,0.9935481445872008,0.0005742646981767212,0.9942638874287685,0.00048360231775539954,0.9763528048717355,0.0012365174594085276,0.9763528048717355,0.0012365174594085276,0.9763528048717355,0.0012365174594085276,0.9788087852080032,0.0011213013434987656,17014.0,55.31726674375751,219.8,12.13260071048248,16884.2,61.41009688968098,0.5013361856221398,0.0018294324771220463,14768.0,57.33672470589865,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051661,1.0,0.0,0.0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,ia2,IA2,0.9935037047959672,0.0005680629078661474,0.9942268562815977,0.0004789861207641596,0.9765784644260531,0.0012367707199478983,0.9765784644260531,0.0012367707199478983,0.9765784644260531,0.0012367707199478983,0.9790029947179283,0.0011168825785907663,17010.4,53.6870561681305,221.0,13.038404810405298,16889.0,60.774172145739676,0.5014787083739407,0.0018099826726843422,14768.0,57.33672470589865,2.0,1.224744871391589,1.0,1.224744871391589,1.0,0.7071067811865476,1.4,0.5477225575051662,0.4,0.5477225575051661
standard,ego_facebook,ego-Facebook,social,enhanced_local,car_cn,CAR-CN,0.9813841097044282,0.0005122643119895792,0.9824016625317075,0.00048150948418891723,0.9700579563136644,0.0015137910853492815,0.9700579563136644,0.0015137910853492815,0.9700579563136644,0.0015137910853492815,0.9731092652215121,0.0013553768519441432,7735.8,48.65901766373824,2118.8,24.232209969377536,28061.4,35.047111150564625,0.8332165454332839,0.0010434953448376241,16736.4,61.10482795982696,403.6,37.79947089576784,227.2,34.92420364160076,176.4,16.920401886480118,300.8,66.33023443347686,1.0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,car_aa,CAR-AA,0.9818050886776742,0.0005061897184351495,0.9826606835372342,0.0004757918900486569,0.971887023098031,0.0009710058577015417,0.971887023098031,0.0009710058577015417,0.971887023098031,0.0009710058577015417,0.9747480113057,0.0008590828667368357,16718.0,69.84983894040145,155.6,8.532291603080617,17116.0,75.52483035399682,0.5082189342718852,0.00224717554864923,16736.4,61.10482795982696,2.8,2.4899799195977463,0.8,0.8366600265340756,2.0,2.23606797749979,2.0,1.7320508075688772,0.4,0.5477225575051661
standard,ego_facebook,ego-Facebook,social,enhanced_local,car_ra,CAR-RA,0.982843083021654,0.0005093378077467832,0.9833893885591589,0.000504272826834938,0.9718632715395025,0.0009402829674777117,0.9718632715395025,0.0009402829674777117,0.9718632715395025,0.0009402829674777117,0.9748311236218985,0.0008366735725206919,16714.0,69.0144912319143,159.2,9.148770409186145,17123.6,74.46677111302732,0.5084445977053326,0.002215685352397726,16736.4,61.10482795982696,3.8,2.280350850198276,0.4,0.5477225575051661,3.4,2.073644135332772,2.4,1.9493588689617927,0.8,0.4472135954999579
standard,ego_facebook,ego-Facebook,social,enhanced_local,fsw,FSW,0.9921097567114303,0.0006745559742294284,0.9930380551204344,0.0005451779458008567,0.9715782344994561,0.0015018234889465215,0.9715782344994561,0.0015018234889465215,0.9715782344994561,0.0015018234889465215,0.9745316578998235,0.001360958845398996,12029.6,101.5125607991443,1583.4,21.755459085020505,23232.2,115.41750300539378,0.6898249920054663,0.003441921477870938,14768.0,57.33672470589865,6.6,1.51657508881031,4.8,1.3038404810405297,1.8,2.04939015319192,3.2,2.04939015319192,1.0,0.0
standard,ego_facebook,ego-Facebook,social,enhanced_local,lit,LIT-i2,0.9917346536091138,0.000684422791928287,0.9924061003175702,0.0005958111377289547,0.9670174387333781,0.001745304186824847,0.9670174387333781,0.001745304186824847,0.9670174387333781,0.001745304186824847,0.9704842343146556,0.00155448668133589,18366.2,40.79460748677448,248.4,13.575713609236162,15560.6,52.43376774560456,0.46203503869749263,0.0015661290168380085,14774.2,55.472515717245145,1.0,0.0,0.8,0.4472135954999579,0.2,0.447213595499958,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,ra_cni,RA-CNI,0.9176871519877411,0.0009363495096198862,0.9278133293442072,0.0006555928985277005,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8538000113178444,0.0011715163915607528,0.8642731270959725,0.0010729558018720735,46489.6,24.429490375364235,125.8,15.188811671753651,2251.8,33.811240734406624,0.046318471478452986,0.0006959651266955604,1942.6,31.14963884220811,1.0,0.0,0.4,0.5477225575051662,0.6,0.5477225575051662,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,ia1,IA1,0.95559393214387,0.0009401902217072609,0.9575332649331155,0.00096909228104581,0.8956631208577835,0.0020817328771543775,0.8956631208577835,0.0020817328771543775,0.8956631208577834,0.002081732877154368,0.9047962041980467,0.001869915826571654,30848.2,70.41448714575736,430.8,18.75366630821824,18198.2,71.68821381510348,0.37432840900358566,0.0014758760623426387,13586.8,57.17254585900487,1.0,0.0,0.8,0.4472135954999579,0.2,0.4472135954999579,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,ia2,IA2,0.9543983077191516,0.0010033417463629073,0.9562329432227008,0.0010593848420681975,0.8935897161805079,0.0019342352920987923,0.8935897161805079,0.0019342352920987923,0.8935897161805079,0.0019342352920987923,0.9029029683256773,0.0017568946442262183,30842.2,73.86609506397393,428.0,17.42125139018434,18201.4,76.25483591222255,0.3743942328169168,0.0015701259912721788,13586.8,57.17254585900487,1.0,0.0,0.8,0.4472135954999579,0.2,0.447213595499958,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,car_cn,CAR-CN,0.9381759297250204,0.0007790987163971612,0.9408998691810831,0.0009556414489951758,0.8855017646677841,0.0019858266172262896,0.8855017646677841,0.0019858266172262896,0.8855017646677841,0.0019858266172262653,0.8952604091538973,0.001764863525387624,3818.2,44.91881565669337,2067.4,28.413025182123835,46864.8,53.274759502038556,0.9639868599066874,0.001086299980583594,19897.0,88.15611152949076,229.2,16.084153692376855,116.0,11.045361017187261,113.2,7.791020472312982,121.4,57.4699921698272,1.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,car_aa,CAR-AA,0.9397982928556553,0.0008330430525068497,0.9417083769716552,0.0009657337622986684,0.8864232858686799,0.0018080247281301591,0.8864232858686799,0.0018080247281301591,0.8864232858686799,0.0018080247281301591,0.8961819901130937,0.0016201598594728387,28328.0,76.42316402766899,317.6,14.397916515940777,20605.2,78.17736245231112,0.4238392571521442,0.0016066174539110904,19897.0,88.15611152949076,1.0,0.0,0.6,0.5477225575051662,0.4,0.5477225575051662,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,car_ra,CAR-RA,0.9434023869774025,0.0008248841678217364,0.9442866263188145,0.0009198642637808659,0.891606808901377,0.0013943340315805354,0.891606808901377,0.0013943340315805354,0.8916068089013771,0.001394334031580547,0.9011161481556715,0.0012599265208422623,28321.0,76.0756202735148,323.6,13.867227552759065,20618.2,76.48986861016293,0.4241066601845751,0.0015715894101317892,19897.0,88.15611152949076,1.0,0.0,0.8,0.4472135954999579,0.2,0.4472135954999579,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,fsw,FSW,0.9529007079422576,0.0011815400542603868,0.9547623300940273,0.000980647841536144,0.8905865469877158,0.0026159653104369926,0.8905865469877158,0.0026159653104369926,0.890586546987716,0.002615965310436977,0.9001655454292585,0.002315660770972921,19322.6,71.0654627790464,3362.2,51.591665993646735,32655.2,115.1290580175135,0.6717020958369322,0.002371094199232932,13586.8,57.17254585900487,6.4,7.602631123499285,3.0,3.7416573867739418,3.4,4.277849927241488,5.2,6.572670690061994,0.6,0.5477225575051661
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,lit,LIT-i2,0.9503963138409409,0.0011283124073998177,0.951942769099863,0.0010494873454214152,0.8858637833707421,0.002408318036600705,0.8858637833707421,0.002408318036600705,0.8858637833707421,0.0024083180366007138,0.8958255165467459,0.0021551883226975516,34766.6,42.735231367104305,105.6,4.277849927241489,13954.6,41.240756540102446,0.28703954768184947,0.0008468386335337543,13597.0,53.3713406239714,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051661,1.0,0.0,0.0,0.0
