benchmark,network_id,network,domain,fold,family,analysis_family,candidate_count,family_scoring_seconds,method_count,candidates_per_second
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,degree_based,standard_local,3706,0.0095669338479638,1,387375.94080769934
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,enhanced_local,enhanced_local,3706,0.8306599538773298,8,4461.512779930275
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,local_bayesian,local_bayesian,3706,0.0834454619325697,3,44412.241410979674
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,local_similarity,standard_local,3706,0.0439986167475581,9,84229.92071007962
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,quasi_local_path,quasi_local_path,3706,0.6652601533569396,3,5570.753007375113
standard,ca_grqc,ca-GrQc,scientific_collaboration,1,quasi_local_walk,quasi_local_walk,3706,0.6776583138853312,3,5468.832779091536
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,degree_based,standard_local,3706,0.0088062221184372,1,420838.8058076472
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,enhanced_local,enhanced_local,3706,0.9490132080391048,8,3905.1089791021027
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,local_bayesian,local_bayesian,3706,0.0981696569360792,3,37750.972303112685
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,local_similarity,standard_local,3706,0.0448487242683768,9,82633.34265258312
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,quasi_local_path,quasi_local_path,3706,0.5301453270949423,3,6990.536010772575
standard,ca_grqc,ca-GrQc,scientific_collaboration,2,quasi_local_walk,quasi_local_walk,3706,0.7419300051406026,3,4995.0803638109755
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,degree_based,standard_local,3706,0.0089686610735952,1,413216.6406545234
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,enhanced_local,enhanced_local,3706,1.0656370376236737,8,3477.731975480344
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,local_bayesian,local_bayesian,3706,0.0853165513835847,3,43438.230213241506
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,local_similarity,standard_local,3706,0.0439918390475213,9,84242.89777921465
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,quasi_local_path,quasi_local_path,3706,0.4870049757882952,3,7609.77851201879
standard,ca_grqc,ca-GrQc,scientific_collaboration,3,quasi_local_walk,quasi_local_walk,3706,0.8770370245911181,3,4225.591276181034
standard,ca_grqc,ca-GrQc,scientific_collaboration,4,degree_based,standard_local,3706,0.0077712158672511,1,476888.0524368856
standard,ca_grqc,ca-GrQc,scientific_collaboration,4,enhanced_local,enhanced_local,3706,1.0893521788530052,8,3402.0219282088383
standard,ca_grqc,ca-GrQc,scientific_collaboration,4,local_bayesian,local_bayesian,3706,0.0624791630543768,3,59315.775353370176
standard,ca_grqc,ca-GrQc,scientific_collaboration,4,local_similarity,standard_local,3706,0.048368782736361,9,76619.66645304953
