benchmark,network_id,network,domain,family,analysis_family,fold_count,method_count,mean_candidate_count,mean_scoring_seconds,std_scoring_seconds,mean_candidates_per_second
standard,ca_grqc,ca-GrQc,scientific_collaboration,degree_based,standard_local,5,1,3706.0,0.00888994233682746,0.0006932974796663449,419049.71856825525
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,5,8,3706.0,1.031293379329145,0.14821319367482666,3655.9188213891057
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,local_bayesian,5,3,3706.0,0.0837755686603486,0.013187141196028018,45268.06184036007
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_similarity,standard_local,5,9,3706.0,0.04540266077965494,0.0018185594686220084,81726.68457823238
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_path,quasi_local_path,5,3,3706.0,0.5490461036562919,0.0688540812905283,6826.885466136546
standard,ca_grqc,ca-GrQc,scientific_collaboration,quasi_local_walk,quasi_local_walk,5,3,3706.0,0.7776861357502639,0.08257009930814531,4808.491361013096
standard,ca_hepth,ca-HepTh,scientific_collaboration,degree_based,standard_local,5,1,6467.6,0.012699224241077839,0.0029725219976,532715.971796684
standard,ca_hepth,ca-HepTh,scientific_collaboration,enhanced_local,enhanced_local,5,8,6467.6,0.8039913262240589,0.03281894942866707,8055.2739122807225
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,local_bayesian,5,3,6467.6,0.14705482115969057,0.007115783530534494,44064.48318005807
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_similarity,standard_local,5,9,6467.6,0.06787621863186356,0.006300434993135402,95897.75593130925
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_path,quasi_local_path,5,3,6467.6,0.2844872354529798,0.029196174454001914,22920.168908266896
standard,ca_hepth,ca-HepTh,scientific_collaboration,quasi_local_walk,quasi_local_walk,5,3,6467.6,2.1469618793576957,0.1698671843896335,3027.28212826029
standard,ego_facebook,ego-Facebook,social,degree_based,standard_local,5,1,33678.4,0.03985999068245288,0.012137236216718894,895023.4452312135
standard,ego_facebook,ego-Facebook,social,enhanced_local,enhanced_local,5,8,33678.4,84.28160077426583,1.6044558155349395,399.70794289145107
standard,ego_facebook,ego-Facebook,social,local_bayesian,local_bayesian,5,3,33678.4,1.1004425227642058,0.11970423508901662,30878.55252688445
standard,ego_facebook,ego-Facebook,social,local_similarity,standard_local,5,9,33678.4,0.7230789613910019,0.0799948674912038,47054.40536172165
standard,ego_facebook,ego-Facebook,social,quasi_local_path,quasi_local_path,5,3,33678.4,85.07607090799138,2.9390971873990273,396.24009643028273
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,quasi_local_walk,5,3,33678.4,43.706378005817534,1.581522865778848,771.3603467792403
standard,email_eu_core,email-Eu-core,communication,degree_based,standard_local,5,1,6031.6,0.0085615658201277,0.0016585608323844531,726414.276037554
standard,email_eu_core,email-Eu-core,communication,enhanced_local,enhanced_local,5,8,6031.6,3.357490156684071,0.38510690828694144,1816.4590508061472
standard,email_eu_core,email-Eu-core,communication,local_bayesian,local_bayesian,5,3,6031.6,0.1397540364414453,0.03480046841421119,45178.56640623716
standard,email_eu_core,email-Eu-core,communication,local_similarity,standard_local,5,9,6031.6,0.06154522318392987,0.010016881304955892,99900.52525966967
standard,email_eu_core,email-Eu-core,communication,quasi_local_path,quasi_local_path,5,3,6031.6,3.191646586637944,0.1676857284740937,1893.9195361123966
standard,email_eu_core,email-Eu-core,communication,quasi_local_walk,quasi_local_walk,5,3,6031.6,7.170046420674771,0.555192581279189,845.2896549264831
standard,email_univ,email-univ,communication,degree_based,standard_local,5,1,1727.6,0.0040710638277232205,0.0009780276030659887,443700.7487817652
standard,email_univ,email-univ,communication,enhanced_local,enhanced_local,5,8,1727.6,0.15001830682158465,0.022165767052644614,11715.292634702648
standard,email_univ,email-univ,communication,local_bayesian,local_bayesian,5,3,1727.6,0.02323597250506276,0.0028599577924426117,75135.92926317219
standard,email_univ,email-univ,communication,local_similarity,standard_local,5,9,1727.6,0.01253020884469146,0.00336697033551029,146548.11020379557
standard,email_univ,email-univ,communication,quasi_local_path,quasi_local_path,5,3,1727.6,0.0774206899106502,0.01244493462810423,22757.360763335786
standard,email_univ,email-univ,communication,quasi_local_walk,quasi_local_walk,5,3,1727.6,1.0154548260383307,0.04707348884362505,1704.419365367809
standard,power_1138_bus,power-1138-bus,infrastructure,degree_based,standard_local,5,1,128.4,0.00233201412484044,0.0003846490039359033,56242.74242641919
standard,power_1138_bus,power-1138-bus,infrastructure,enhanced_local,enhanced_local,5,8,128.4,0.025775464344769662,0.006822832548825576,5198.327448653814
standard,power_1138_bus,power-1138-bus,infrastructure,local_bayesian,local_bayesian,5,3,128.4,0.00880748024210328,0.0005039807524543672,14617.71412676355
standard,power_1138_bus,power-1138-bus,infrastructure,local_similarity,standard_local,5,9,128.4,0.00330455079674716,0.0009222624957877724,41203.369178083165
standard,power_1138_bus,power-1138-bus,infrastructure,quasi_local_path,quasi_local_path,5,3,128.4,0.0054993493482469995,0.00019003861175935185,23373.91181638701
standard,power_1138_bus,power-1138-bus,infrastructure,quasi_local_walk,quasi_local_walk,5,3,128.4,0.017018438689410643,0.0011737973288040956,7575.492789011107
standard,power_grid,power-grid,infrastructure,degree_based,standard_local,5,1,661.6,0.0044972804374992,0.0010019797380825437,153305.7137322815
standard,power_grid,power-grid,infrastructure,enhanced_local,enhanced_local,5,8,661.6,0.1031943386420607,0.00820851331708573,6443.487646878206
standard,power_grid,power-grid,infrastructure,local_bayesian,local_bayesian,5,3,661.6,0.030947757326066437,0.003840042767239821,21631.605615623634
standard,power_grid,power-grid,infrastructure,local_similarity,standard_local,5,9,661.6,0.008055439312010939,0.0022213944935849435,86465.15187937254
standard,power_grid,power-grid,infrastructure,quasi_local_path,quasi_local_path,5,3,661.6,0.02380522452294822,0.010579377643262255,30977.483984851
standard,power_grid,power-grid,infrastructure,quasi_local_walk,quasi_local_walk,5,3,661.6,0.06727870078757402,0.007492695880974411,9922.331653312995
standard,socfb_middlebury45,socfb-Middlebury45,social,degree_based,standard_local,5,1,48615.6,0.04977122694253916,0.014175431296336232,1028980.9766540747
standard,socfb_middlebury45,socfb-Middlebury45,social,enhanced_local,enhanced_local,5,8,48615.6,58.51055107936263,2.271023216325682,831.8474181440918
standard,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,local_bayesian,5,3,48615.6,1.5194503014907241,0.07781744802860663,32062.334252632445
standard,socfb_middlebury45,socfb-Middlebury45,social,local_similarity,standard_local,5,9,48615.6,0.7012104340828955,0.08387689644744427,70199.41077859131
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_path,quasi_local_path,5,3,48615.6,65.008240169473,2.48688029969912,748.687858265018
standard,socfb_middlebury45,socfb-Middlebury45,social,quasi_local_walk,quasi_local_walk,5,3,48615.6,163.46995619023218,1.4533435634483884,297.41658525653236
