benchmark,network_id,network,fold,random_seed,spanning_tree_seed,positive_split_seed,negative_seed,candidate_seed,negative_ratio,nodes,original_edges,spanning_tree_edges,removable_edges,positive_edges,negative_edges,training_edges,candidate_pairs,training_connected
standard,ego_facebook,ego-Facebook,1,42,1520916578,2686588120,2673344803,3306824441,1,4039,88234,4038,84196,16840,16840,71394,33680,True
standard,ego_facebook,ego-Facebook,2,42,1520916578,2686588120,3959124322,140930997,1,4039,88234,4038,84196,16839,16839,71395,33678,True
standard,ego_facebook,ego-Facebook,3,42,1520916578,2686588120,490836361,3627565361,1,4039,88234,4038,84196,16839,16839,71395,33678,True
standard,ego_facebook,ego-Facebook,4,42,1520916578,2686588120,1966290306,572291573,1,4039,88234,4038,84196,16839,16839,71395,33678,True
standard,ego_facebook,ego-Facebook,5,42,1520916578,2686588120,1901149321,1050554607,1,4039,88234,4038,84196,16839,16839,71395,33678,True
standard,socfb_middlebury45,socfb-Middlebury45,1,42,2746885446,40352136,1244488653,2073534497,1,3069,124607,3068,121539,24308,24308,100299,48616,True
standard,socfb_middlebury45,socfb-Middlebury45,2,42,2746885446,40352136,4085826222,3315593546,1,3069,124607,3068,121539,24308,24308,100299,48616,True
standard,socfb_middlebury45,socfb-Middlebury45,3,42,2746885446,40352136,2628007361,3413681888,1,3069,124607,3068,121539,24308,24308,100299,48616,True
standard,socfb_middlebury45,socfb-Middlebury45,4,42,2746885446,40352136,641492279,109196871,1,3069,124607,3068,121539,24308,24308,100299,48616,True
standard,socfb_middlebury45,socfb-Middlebury45,5,42,2746885446,40352136,1275427091,3528380653,1,3069,124607,3068,121539,24307,24307,100300,48614,True
standard,ca_grqc,ca-GrQc,1,42,1879349234,1078299000,3811754540,3822727484,1,4158,13422,4157,9265,1853,1853,11569,3706,True
standard,ca_grqc,ca-GrQc,2,42,1879349234,1078299000,3835953616,2835005836,1,4158,13422,4157,9265,1853,1853,11569,3706,True
standard,ca_grqc,ca-GrQc,3,42,1879349234,1078299000,4148128039,2512208652,1,4158,13422,4157,9265,1853,1853,11569,3706,True
standard,ca_grqc,ca-GrQc,4,42,1879349234,1078299000,3590674093,2565754097,1,4158,13422,4157,9265,1853,1853,11569,3706,True
standard,ca_grqc,ca-GrQc,5,42,1879349234,1078299000,832117913,598612195,1,4158,13422,4157,9265,1853,1853,11569,3706,True
standard,ca_hepth,ca-HepTh,1,42,2034487966,4270787931,2790565349,2060618974,1,8638,24806,8637,16169,3234,3234,21572,6468,True
standard,ca_hepth,ca-HepTh,2,42,2034487966,4270787931,423516475,1016203633,1,8638,24806,8637,16169,3234,3234,21572,6468,True
standard,ca_hepth,ca-HepTh,3,42,2034487966,4270787931,1183487907,542164540,1,8638,24806,8637,16169,3234,3234,21572,6468,True
standard,ca_hepth,ca-HepTh,4,42,2034487966,4270787931,2866601243,2415069686,1,8638,24806,8637,16169,3234,3234,21572,6468,True
standard,ca_hepth,ca-HepTh,5,42,2034487966,4270787931,3063753516,4118100058,1,8638,24806,8637,16169,3233,3233,21573,6466,True
standard,email_eu_core,email-Eu-core,1,42,2973608527,1979593106,3539152419,2337873084,1,986,16064,985,15079,3016,3016,13048,6032,True
standard,email_eu_core,email-Eu-core,2,42,2973608527,1979593106,3722164808,998944390,1,986,16064,985,15079,3016,3016,13048,6032,True
standard,email_eu_core,email-Eu-core,3,42,2973608527,1979593106,55962252,4259090196,1,986,16064,985,15079,3016,3016,13048,6032,True
standard,email_eu_core,email-Eu-core,4,42,2973608527,1979593106,1867912080,624795223,1,986,16064,985,15079,3016,3016,13048,6032,True
standard,email_eu_core,email-Eu-core,5,42,2973608527,1979593106,4032030298,4218285579,1,986,16064,985,15079,3015,3015,13049,6030,True
standard,email_univ,email-univ,1,42,1773822039,1263531343,1657705307,3862365882,1,1133,5451,1132,4319,864,864,4587,1728,True
standard,email_univ,email-univ,2,42,1773822039,1263531343,1097745175,1808227278,1,1133,5451,1132,4319,864,864,4587,1728,True
standard,email_univ,email-univ,3,42,1773822039,1263531343,1320942731,535781717,1,1133,5451,1132,4319,864,864,4587,1728,True
standard,email_univ,email-univ,4,42,1773822039,1263531343,2082321529,2801939836,1,1133,5451,1132,4319,864,864,4587,1728,True
standard,email_univ,email-univ,5,42,1773822039,1263531343,196127534,62532712,1,1133,5451,1132,4319,863,863,4588,1726,True
standard,power_grid,power-grid,1,42,1648915160,2597528746,849683485,2083221306,1,4941,6594,4940,1654,331,331,6263,662,True
standard,power_grid,power-grid,2,42,1648915160,2597528746,3701617678,2014049322,1,4941,6594,4940,1654,331,331,6263,662,True
standard,power_grid,power-grid,3,42,1648915160,2597528746,3962651670,981194311,1,4941,6594,4940,1654,331,331,6263,662,True
standard,power_grid,power-grid,4,42,1648915160,2597528746,1768887818,1600140459,1,4941,6594,4940,1654,331,331,6263,662,True
