benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,local_bayesian,lnb_cn,0.990981549729034,0.9923559129941717,0.9720308788598575,0.9720308788598575,0.9720308788598575,0.974785651820647,16840,16840,16840,33680,17194,150,16636,0.49394299287410925,14740,6.329969809065327,1,0,1,1,False,LNB-CN,1.5555048459209502
standard,ego_facebook,ego-Facebook,social,1,local_bayesian,lnb_aa,0.9919016034777102,0.9930526215012326,0.9744655581947743,0.9744655581947743,0.9744655581947743,0.9770105020234836,16840,16840,16840,33680,17196,148,16632,0.49382422802850356,14740,1.701423041247651,1,1,0,1,False,LNB-AA,1.5555048459209502
standard,ego_facebook,ego-Facebook,social,1,local_bayesian,lnb_ra,0.9938376609170858,0.9942668016288555,0.9760095011876485,0.9760095011876485,0.9760095011876485,0.9785608055413747,16840,16840,16840,33680,17196,148,16632,0.49382422802850356,14740,0.13123985914289343,1,0,1,1,False,LNB-RA,1.5555048459209502
standard,ego_facebook,ego-Facebook,social,2,local_bayesian,lnb_cn,0.9922511112777567,0.9931782652250133,0.9720886038363323,0.9720886038363323,0.9720886038363323,0.9749521759012806,16839,16839,16839,33678,17138,159,16699,0.49584298355009204,14799,5.982718283126577,1,0,1,1,False,LNB-CN,1.6505888979882002
standard,ego_facebook,ego-Facebook,social,2,local_bayesian,lnb_aa,0.9930961460628425,0.9938359860379855,0.9748797434526991,0.9748797434526991,0.9748797434526991,0.9774843500741057,16839,16839,16839,33678,17139,158,16697,0.49578359760080765,14799,1.544934531315683,1,1,0,1,False,LNB-AA,1.6505888979882002
standard,ego_facebook,ego-Facebook,social,2,local_bayesian,lnb_ra,0.9946123338435063,0.9949261073777033,0.9774927252212127,0.9774927252212127,0.9774927252212127,0.9799241041082755,16839,16839,16839,33678,17139,158,16697,0.49578359760080765,14799,0.11825573763430454,1,1,0,1,False,LNB-RA,1.6505888979882002
standard,ego_facebook,ego-Facebook,social,3,local_bayesian,lnb_cn,0.9923730235380941,0.9932457167165516,0.9725636914306075,0.9725636914306075,0.9725636914306075,0.975396233091699,16839,16839,16839,33678,17094,194,16778,0.49818872854682583,14842,5.633114291938536,2,1,1,2,False,LNB-CN,2.5621049790643156
standard,ego_facebook,ego-Facebook,social,3,local_bayesian,lnb_aa,0.9931446219988487,0.9938461552514047,0.9756517607933963,0.9756517607933963,0.9756517607933963,0.9781812953638557,16839,16839,16839,33678,17098,192,16772,0.49801057069897264,14842,1.4583496569874073,2,2,0,2,False,LNB-AA,2.5621049790643156
standard,ego_facebook,ego-Facebook,social,3,local_bayesian,lnb_ra,0.9944849793902036,0.9947515626247513,0.9776114971197815,0.9776114971197815,0.9776114971197815,0.9800351564433589,16839,16839,16839,33678,17098,192,16772,0.49801057069897264,14842,0.1152539485792696,1,1,0,1,False,LNB-RA,2.5621049790643156
standard,ego_facebook,ego-Facebook,social,4,local_bayesian,lnb_cn,0.992539342812153,0.9936388757528467,0.9735732525684423,0.9735732525684423,0.9735732525684423,0.9762317863256508,16839,16839,16839,33678,17161,164,16681,0.4953085100065325,14768,6.295901947891805,2,2,0,1,True,LNB-CN,1.999131214339286
standard,ego_facebook,ego-Facebook,social,4,local_bayesian,lnb_aa,0.9934477921535638,0.9943642102851421,0.9757705326919651,0.9757705326919651,0.9757705326919651,0.9782417333294321,16839,16839,16839,33678,17163,162,16677,0.49518973810796363,14768,1.729668519907809,1,1,0,1,False,LNB-AA,1.999131214339286
standard,ego_facebook,ego-Facebook,social,4,local_bayesian,lnb_ra,0.9949249900772118,0.9954197171529654,0.9776114971197815,0.9776114971197815,0.9776114971197815,0.9800033297757169,16839,16839,16839,33678,17163,162,16677,0.49518973810796363,14768,0.13444895866827336,1,1,0,1,False,LNB-RA,1.999131214339286
standard,ego_facebook,ego-Facebook,social,5,local_bayesian,lnb_cn,0.9914133355335917,0.99249694908609,0.9705445691549379,0.9705445691549379,0.9705445691549379,0.9735235217564187,16839,16839,16839,33678,17212,161,16627,0.49370508937585367,14691,6.391803376047269,1,1,0,1,False,LNB-CN,1.4242409109137952
standard,ego_facebook,ego-Facebook,social,5,local_bayesian,lnb_aa,0.9923173301480017,0.9932021515029693,0.9727418492784607,0.9727418492784607,0.9727418492784607,0.9755391983761592,16839,16839,16839,33678,17215,158,16621,0.4935269315280005,14691,1.7195376529799389,1,0,1,1,False,LNB-AA,1.4242409109137952
standard,ego_facebook,ego-Facebook,social,5,local_bayesian,lnb_ra,0.9939551322503937,0.9943398302704499,0.9746421996555615,0.9746421996555615,0.9746421996555615,0.9773651770791892,16839,16839,16839,33678,17215,158,16621,0.4935269315280005,14691,0.134779921956563,1,1,0,1,False,LNB-RA,1.4242409109137952
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_bayesian,lnb_cn,0.947895923842841,0.951199318072071,0.8856343590587461,0.8856343590587461,0.8856343590587461,0.8952645182203159,24308,24308,24308,48616,31973,865,17508,0.3601283528056607,13681,10.454698149858423,1,0,1,1,False,LNB-CN,2.2831732402555645
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_bayesian,lnb_aa,0.9502889150236138,0.95317076868737,0.8884317920026329,0.8884317920026329,0.8884317920026329,0.8979386428286635,24308,24308,24308,48616,31975,864,17505,0.3600666447260161,13681,2.279991093437643,1,1,0,1,False,LNB-AA,2.2831732402555645
standard,socfb_middlebury45,socfb-Middlebury45,social,1,local_bayesian,lnb_ra,0.9532049780397288,0.9553980069254939,0.8911880862267566,0.8911880862267566,0.8911880862267566,0.9006398665830451,24308,24308,24308,48616,31975,864,17505,0.3600666447260161,13681,0.10906641618003697,1,0,1,1,False,LNB-RA,2.2831732402555645
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_bayesian,lnb_cn,0.948747053608668,0.952527747717847,0.8889254566397894,0.8889254566397894,0.8889254566397894,0.8982166063179434,24308,24308,24308,48616,32127,885,17374,0.3573720585815369,13601,10.481733646058956,1,0,1,1,False,LNB-CN,1.8557697180658579
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_bayesian,lnb_aa,0.9511736832642682,0.9545595795756878,0.8929159124568044,0.8929159124568044,0.8929159124568044,0.9019420929284253,24308,24308,24308,48616,32131,885,17370,0.3572897811420109,13601,2.280950292469007,1,1,0,1,False,LNB-AA,1.8557697180658579
standard,socfb_middlebury45,socfb-Middlebury45,social,2,local_bayesian,lnb_ra,0.9543717360748267,0.9569694999278228,0.8965361197959519,0.8965361197959519,0.8965361197959519,0.9054296900764839,24308,24308,24308,48616,32131,885,17370,0.3572897811420109,13601,0.10844096802972265,1,1,0,1,False,LNB-RA,1.8557697180658579
standard,socfb_middlebury45,socfb-Middlebury45,social,3,local_bayesian,lnb_cn,0.9483659116463172,0.9515103327507076,0.8853875267401679,0.8853875267401679,0.8853875267401679,0.8951029016941936,24308,24308,24308,48616,32151,856,17321,0.35628188250781634,13546,10.506009839234864,1,1,0,1,False,LNB-CN,2.4793129307217896
standard,socfb_middlebury45,socfb-Middlebury45,social,3,local_bayesian,lnb_aa,0.9506418416632656,0.9534987115396296,0.8891722889583676,0.8891722889583676,0.8891722889583675,0.8986301894613212,24308,24308,24308,48616,32152,856,17320,0.35626131314793485,13546,2.280629730795979,1,0,1,1,False,LNB-AA,2.4793129307217896
