benchmark,network_id,network,domain,family,method_id,method,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std,distinct_score_count_mean,distinct_score_count_std,tie_group_count_mean,tie_group_count_std,tied_candidate_count_mean,tied_candidate_count_std,tied_candidate_ratio_mean,tied_candidate_ratio_std,largest_tie_group_mean,largest_tie_group_std,cutoff_tie_size_mean,cutoff_tie_size_std,cutoff_tie_positive_count_mean,cutoff_tie_positive_count_std,cutoff_tie_negative_count_mean,cutoff_tie_negative_count_std,cutoff_slots_in_tie_mean,cutoff_slots_in_tie_std,cutoff_tie_crosses_boundary_mean,cutoff_tie_crosses_boundary_std
standard,ego_facebook,ego-Facebook,social,local_bayesian,lnb_cn,LNB-CN,0.9919116725781258,0.0006774034222883753,0.9929831439549346,0.0005400937614441787,0.9721601991700355,0.0010944902799028696,0.9721601991700355,0.0010944902799028696,0.9721601991700355,0.0010944902799028696,0.9749778737791391,0.0009874298275002822,17159.8,46.63903944122361,165.6,16.712270940838653,16684.2,60.46238500092468,0.4953976608706826,0.0018011923955777666,14768.0,57.33672470589865,1.4,0.5477225575051661,0.8,0.8366600265340756,0.6,0.5477225575051661,1.2,0.4472135954999579,0.2,0.4472135954999579
standard,ego_facebook,ego-Facebook,social,local_bayesian,lnb_aa,LNB-AA,0.9927814987681934,0.0006450729621998453,0.9936602249157469,0.0005338704484596526,0.9747018888822592,0.001222036817174693,0.9747018888822592,0.001222036817174693,0.9747018888822592,0.001222036817174693,0.9772914158334073,0.0011046935241602678,17162.2,46.343284303121756,163.6,16.69730517179344,16679.8,60.305057830998,0.4952670131928496,0.0017964862864418578,14768.0,57.33672470589865,1.2,0.4472135954999579,1.0,0.7071067811865476,0.2,0.4472135954999579,1.2,0.4472135954999579,0.0,0.0
standard,ego_facebook,ego-Facebook,social,local_bayesian,lnb_ra,LNB-RA,0.9943630192956803,0.00045695088231148003,0.9947408038109451,0.0004692638753153521,0.976673484060797,0.0013226755712718752,0.976673484060797,0.0013226755712718752,0.976673484060797,0.0013226755712718752,0.979177714589583,0.001187414552940673,17162.2,46.343284303121756,163.6,16.69730517179344,16679.8,60.305057830998,0.4952670131928496,0.0017964862864418578,14768.0,57.33672470589865,1.0,0.0,0.8,0.4472135954999579,0.2,0.447213595499958,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,lnb_cn,LNB-CN,0.9487950781710339,0.0006976168408272719,0.9522347340647928,0.0008583105525750731,0.8873283458272937,0.001878891186790093,0.8873283458272937,0.001878891186790093,0.8873283458272937,0.001878891186790093,0.8968266685015628,0.0016740389631222398,32077.8,70.83219606930142,883.0,22.394195676558695,17420.8,74.63042275104712,0.3583376613584071,0.001537548836491588,13586.8,57.17254585900487,1.0,0.0,0.4,0.5477225575051662,0.6,0.5477225575051661,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,lnb_aa,LNB-AA,0.9512146720371183,0.0007785798994250574,0.9542807580217895,0.0009079120482197773,0.8907182054461471,0.0019502249029305452,0.8907182054461471,0.0019502249029305452,0.8907182054461471,0.001950224902930564,0.900020737752256,0.0017427657328896618,32080.0,70.76369125476708,882.8,22.59867252738532,17418.4,74.19770885950557,0.3582882943869523,0.0015286321878749936,13586.8,57.17254585900487,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051662,1.0,0.0,0.0,0.0
standard,socfb_middlebury45,socfb-Middlebury45,social,local_bayesian,lnb_ra,LNB-RA,0.9542061058258706,0.001188686661930446,0.9566444681400015,0.0011489555135502216,0.8946182000837444,0.0022374334318957033,0.8946182000837444,0.0022374334318957033,0.8946182000837444,0.0022374334318957033,0.90373276779323,0.0020403794079432674,32080.0,70.76369125476708,882.8,22.59867252738532,17418.4,74.19770885950557,0.3582882943869523,0.0015286321878749936,13586.8,57.17254585900487,1.0,0.0,0.4,0.5477225575051662,0.6,0.5477225575051662,1.0,0.0,0.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,lnb_cn,LNB-CN,0.9663530965877541,0.003913966795637852,0.9663209468521314,0.0038871754245032274,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9481929421381785,0.005028613298103796,1414.4,15.208550226763855,138.0,9.874208829065752,2429.6,12.660963628413102,0.6555855369670804,0.003416342047602031,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,lnb_aa,LNB-AA,0.9666711682342409,0.003765712529958126,0.9665572288516252,0.003785278754245436,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9482313885938712,0.005009471227351704,1423.2,14.007141035914474,138.4,10.737783756436892,2421.2,11.388590782006293,0.6533189422558014,0.0030730142423114897,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,lnb_ra,LNB-RA,0.9667526069238509,0.003694613320278794,0.9666217673590675,0.0037311269488744395,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.9382622773880194,0.005919123403430636,0.948241083139812,0.004999273697682975,1423.2,14.007141035914474,138.4,10.737783756436892,2421.2,11.388590782006293,0.6533189422558014,0.0030730142423114897,1964.0,10.770329614269007,1964.0,10.770329614269007,121.6,13.049904214207858,1842.4,3.911521443121598,111.0,10.770329614269007,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,lnb_cn,LNB-CN,0.9363908910736363,0.0026109872184186434,0.9363903569418964,0.0025911047712672618,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904085090413502,0.00435196142725072,1938.6,27.437201023428,293.4,7.536577472566708,4822.4,29.279685790663844,0.7456247426001303,0.004607938872424771,3631.2,16.961721610732862,3631.2,16.961721610732862,407.2,16.528762809115516,3224.0,1.224744871391589,397.4,17.12600362022617,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,lnb_aa,LNB-AA,0.9365558638416178,0.002582575863662871,0.936488925883302,0.002573394199904071,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.9041053102845382,0.004349864134811457,1965.2,25.810850431553018,291.2,10.134100848126588,4793.6,31.269793731331117,0.7411718324537024,0.004920740225660959,3631.2,16.961721610732862,3631.2,16.961721610732862,407.2,16.528762809115516,3224.0,1.224744871391589,397.4,17.12600362022617,1.0,0.0
standard,ca_hepth,ca-HepTh,scientific_collaboration,local_bayesian,lnb_ra,LNB-RA,0.9365277071089485,0.002610196992437445,0.9364709735412899,0.0025867170828419057,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.8879335531980134,0.005040648512099952,0.904102061308882,0.004353883721506565,1965.2,25.810850431553018,291.2,10.134100848126588,4793.6,31.269793731331117,0.7411718324537024,0.004920740225660959,3631.2,16.961721610732862,3631.2,16.961721610732862,407.2,16.528762809115516,3224.0,1.224744871391589,397.4,17.12600362022617,1.0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,lnb_cn,LNB-CN,0.9457306926966703,0.0021931948101757428,0.9482651163901539,0.001707330170112609,0.8856686945467181,0.004436093188881079,0.8856686945467181,0.004436093188881079,0.8856686945467181,0.0044360931888810665,0.8988084939776708,0.0038024362290626067,3655.2,31.46744349323601,133.8,11.966620241321273,2510.2,23.931151246858104,0.41617446586695167,0.003921737792832062,1940.4,41.87839538473269,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051661,1.0,0.0,0.0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,lnb_aa,LNB-AA,0.9492009159504111,0.002100800679645526,0.9508975902594177,0.0017528510826880527,0.8892498383414493,0.003989591066886304,0.8892498383414493,0.003989591066886304,0.8892498383414493,0.003989591066886319,0.9022210922126039,0.0034874439211644926,3655.8,31.059620087824616,133.4,12.421755109484328,2509.2,23.026072179162433,0.41600868337358304,0.0037713735794528856,1940.4,41.87839538473269,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
standard,email_eu_core,email-Eu-core,communication,local_bayesian,lnb_ra,LNB-RA,0.951720256486376,0.002066848518096086,0.9527254698770001,0.0020464689352442094,0.892168248061197,0.00433476920251534,0.892168248061197,0.00433476920251534,0.892168248061197,0.00433476920251534,0.9050448601774255,0.0038039763733551304,3655.8,31.059620087824616,133.4,12.421755109484328,2509.2,23.026072179162433,0.41600868337358304,0.0037713735794528856,1940.4,41.87839538473269,1.0,0.0,0.6,0.5477225575051661,0.4,0.5477225575051661,1.0,0.0,0.0,0.0
