benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,local_similarity,cn,0.9899865051369019,0.9921230432715906,0.9710807600950119,0.9710807600950119,0.9710807600950119,0.9739588717928747,16840,16840,16840,33680,141,135,33674,0.9998218527315914,14740,2.0,536,281,255,221,True,CN,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,aa,0.9921061337789395,0.9931957810974886,0.9747624703087886,0.9747624703087886,0.9747624703087886,0.977286001070857,16840,16840,16840,33680,17031,230,16879,0.5011579572446556,14740,0.47445676945713994,1,1,0,1,False,AA,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,ra,0.9939966209839524,0.9943577230296601,0.976187648456057,0.976187648456057,0.976187648456057,0.9787334233740004,16840,16840,16840,33680,17015,238,16903,0.5018705463182898,14740,0.03425058548009367,1,0,1,1,False,RA,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,ja,0.9877863021624196,0.9897986110719301,0.9532066508313539,0.9532066508313539,0.953206650831354,0.9573999982900508,16840,16840,16840,33680,5657,3035,31058,0.9221496437054632,14740,0.038461538461538464,36,16,20,32,True,JA,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,sa,0.9886160407119187,0.9908471410396013,0.960688836104513,0.960688836104513,0.9606888361045129,0.9639839462033812,16840,16840,16840,33680,14227,2340,21793,0.647060570071259,14740,0.10269923319261935,1,1,0,1,False,SA,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,so,0.9877863021624196,0.9897986110719301,0.9532066508313539,0.9532066508313539,0.953206650831354,0.9573999982900508,16840,16840,16840,33680,5657,3035,31058,0.9221496437054632,14740,0.07407407407407407,36,16,20,32,True,SO,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,hpi,0.9663007787773836,0.9857718145773269,0.9574228028503563,0.9574228028503563,0.9574228028503563,0.9568511435915787,16840,16840,16840,33680,2867,1948,32761,0.9727137767220903,14740,0.19298245614035087,2,2,0,2,False,HPI,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,hdi,0.9869525891516311,0.9889884888372328,0.9504156769596199,0.9504156769596199,0.9504156769596199,0.9548919537463094,16840,16840,16840,33680,4637,2917,31960,0.9489311163895487,14740,0.04880952380952381,4,4,0,1,True,HDI,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,1,local_similarity,llhn,0.9101041381623494,0.9579451178056994,0.9307600950118765,0.9307600950118765,0.9307600950118765,0.9255815256091968,16840,16840,16840,33680,11609,2581,24652,0.7319477434679335,14740,0.0026833631484794273,1,1,0,1,False,LLHN,0.7855688920244575
standard,ego_facebook,ego-Facebook,social,2,local_similarity,cn,0.9912460458813377,0.9929548281917653,0.9715541302927727,0.9715541302927727,0.9715541302927727,0.9744840707299527,16839,16839,16839,33678,141,134,33671,0.9997921491775046,14799,2.0,567,341,226,288,True,CN,0.6508068665862083
