benchmark,family,analysis_family,method_id,method,network_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,mean_cutoff_boundary_tie_rate
standard,local_similarity,standard_local,cn,CN,8,49.599999999999994,45.225,12622.725,0.9986014907558489,4694.4,1192.075,1.0
standard,enhanced_local,enhanced_local,car_cn,CAR-CN,8,1647.75,615.75,11595.1,0.9502777740046934,6104.125,1271.6999999999998,1.0
standard,local_similarity,standard_local,hdi,HDI,8,1403.625,937.15,12160.625,0.963564518086829,4694.4,917.7,0.975
standard,local_similarity,standard_local,hpi,HPI,8,950.525,642.575,12319.15,0.9778592108894013,4694.4,930.325,0.925
standard,local_similarity,standard_local,ja,JA,8,1864.15,1058.5,11821.45,0.9405499495734048,4694.4,914.75,0.925
standard,local_similarity,standard_local,so,SO,8,1864.15,1058.5,11821.45,0.9405499495734048,4694.4,914.75,0.925
standard,enhanced_local,enhanced_local,fsw,FSW,8,4555.6,779.65,8851.15,0.8022653514961046,4694.4,914.125,0.9
standard,degree_based,standard_local,pa,PA,8,2415.875,1611.625,11822.85,0.9402463938218697,115.725,38.225,0.875
standard,local_similarity,standard_local,llhn,LLHN,8,4520.575,1174.1499999999999,9280.675,0.8366982227890657,4694.4,909.1,0.8
standard,quasi_local_path,quasi_local_path,lpi,LPI-beta-0.001,8,4901.175,1353.975,9079.9,0.8223219729891049,2506.2,684.675,0.775
standard,quasi_local_path,quasi_local_path,fl,FL-l3,8,5078.549999999999,1220.675,8769.225,0.814938188057486,2506.2,684.675,0.775
standard,local_similarity,standard_local,sa,SA,8,5734.825,1089.9,7982.175,0.779306976336573,4694.4,908.9,0.75
standard,enhanced_local,enhanced_local,car_ra,CAR-RA,8,6349.4,108.2,6385.9,0.7243948245192648,6104.125,1183.875,0.725
standard,enhanced_local,enhanced_local,car_aa,CAR-AA,8,6357.575000000001,105.35,6374.875,0.7226367034533623,6104.125,1183.8,0.7
standard,enhanced_local,enhanced_local,ia2,IA2,8,6814.0,155.075,5968.175,0.6901324021079049,4694.4,908.075,0.7
standard,local_similarity,standard_local,ra,RA,8,6781.299999999999,172.875,6018.675,0.696060830827523,4694.4,907.925,0.65
standard,local_similarity,standard_local,aa,AA,8,6803.85,170.7,5993.950000000001,0.6914291477265223,4694.4,907.975,0.65
standard,local_bayesian,local_bayesian,lnb_cn,LNB-CN,8,7115.125,213.7,5725.675,0.6513973616598233,4694.4,907.925,0.65
standard,enhanced_local,enhanced_local,ia1,IA1,8,6816.825,156.35,5966.625,0.688914308650575,4694.4,907.875,0.625
standard,local_bayesian,local_bayesian,lnb_aa,LNB-AA,8,7120.625,213.125,5719.6,0.6502071384344842,4694.4,907.9,0.625
standard,local_bayesian,local_bayesian,lnb_ra,LNB-RA,8,7120.625,213.125,5719.6,0.6502071384344842,4694.4,907.875,0.625
standard,enhanced_local,enhanced_local,lit,LIT-i2,8,7733.075,60.7,4954.725,0.5954573813668365,4764.875,975.725,0.625
standard,quasi_local_walk,quasi_local_walk,lrw,LRW-l3,8,9725.125,73.55,2975.5249999999996,0.48469258862301184,2564.7,779.15,0.5
standard,enhanced_local,enhanced_local,ra_cni,RA-CNI,8,9690.4,81.85,3018.5499999999997,0.4930291847167756,2509.6749999999997,679.325,0.475
standard,quasi_local_walk,quasi_local_walk,srw,SRW-l3,8,9764.3,72.05,2934.85,0.4683442141140448,2506.2,677.25,0.475
standard,quasi_local_path,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,8,9754.474999999999,70.225,2942.85,0.4632617198437679,2506.2,677.275,0.475
standard,quasi_local_walk,quasi_local_walk,pfp,PFP-l3,8,9958.625,80.02499999999999,2748.5,0.4507255463123813,2506.2,677.25,0.475
