benchmark,negative_ratio,is_primary_ratio,family,method_id,method,network_count,average_precision_mean,average_precision_sd_across_networks,roc_auc_mean,roc_auc_sd_across_networks,precision_mean,precision_sd_across_networks,recall_mean,recall_sd_across_networks,f1_mean,f1_sd_across_networks,ndcg_mean,ndcg_sd_across_networks,average_precision_rank
standard,1,True,local_similarity,aa,AA,8,0.8795692126440822,0.12204573979900357,0.8801064104180272,0.12264769212805131,0.826650492022502,0.1364285251498923,0.826650492022502,0.1364285251498923,0.826650492022502,0.1364285251498923,0.8558924143728643,0.10804030941987593,13
standard,1,True,enhanced_local,car_aa,CAR-AA,8,0.7720426864378358,0.18248709873899435,0.7725540720131416,0.18304227213058422,0.7288463979781648,0.17433317871876924,0.7288463979781648,0.17433317871876924,0.7288463979781648,0.17433317871876924,0.7552458087591924,0.16258737233270684,26
standard,1,True,enhanced_local,car_cn,CAR-CN,8,0.7713102560443368,0.18189605229005484,0.7722344668193779,0.18273313561132806,0.7283616483634632,0.17371090211822893,0.7283616483634632,0.17371090211822893,0.7283616483634632,0.17371090211822893,0.7547599503369302,0.16201256867862318,27
standard,1,True,enhanced_local,car_ra,CAR-RA,8,0.7733582436887168,0.1837374609039962,0.7733965371801363,0.1838978769653807,0.7301545516225171,0.1756654636015248,0.7301545516225171,0.1756654636015248,0.7301545516225172,0.1756654636015248,0.7565374073729629,0.16384782357854671,25
standard,1,True,local_similarity,cn,CN,8,0.875463538579159,0.12064218558193038,0.8786308676691006,0.12188902846660808,0.8246362410934776,0.1350834911410567,0.8246362410934776,0.1350834911410567,0.8246362410934776,0.1350834911410567,0.8539597819498991,0.10691361747903955,16
standard,1,True,quasi_local_path,fl,FL-l3,8,0.9180400687375068,0.08177679508920326,0.9192188442664329,0.08195886763053557,0.8670147718758956,0.10324537788203633,0.8670147718758956,0.10324537788203633,0.8670147718758956,0.10324537788203633,0.890152345810393,0.08038566206360961,2
standard,1,True,enhanced_local,fsw,FSW,8,0.8780699499571991,0.12194335393358034,0.8787346981497834,0.12218613375263467,0.8246348231817824,0.1351943237865969,0.8246348231817824,0.1351943237865969,0.8246348231817824,0.1351943237865969,0.8540571112654274,0.10710241733555906,15
standard,1,True,local_similarity,hdi,HDI,8,0.872905669965728,0.11962936090070697,0.8752719402141598,0.12020376614708515,0.8180557743073262,0.13064427407331528,0.8180557743073262,0.13064427407331528,0.8180557743073262,0.13064427407331525,0.8475297435527961,0.10311741346922225,20
standard,1,True,local_similarity,hpi,HPI,8,0.855135941811096,0.11347598365784649,0.8711864104609155,0.1182291695030635,0.81839310790484,0.13134515335232697,0.81839310790484,0.13134515335232697,0.81839310790484,0.13134515335232697,0.8426186729018825,0.102675167011934,21
standard,1,True,enhanced_local,ia1,IA1,8,0.8809871269536101,0.12299794662202974,0.8810781320838458,0.12332641393127218,0.8281541768289735,0.13735921254660435,0.8281541768289735,0.13735921254660435,0.8281541768289735,0.13735921254660433,0.8573782454943324,0.10888610516121115,8
