benchmark,network_id,network,domain,family,analysis_family,method_id,method,fold_count,mean_distinct_score_count,mean_tie_group_count,mean_tied_candidate_count,mean_tied_candidate_ratio,mean_largest_tie_group,mean_cutoff_tie_size,cutoff_boundary_tie_count,cutoff_boundary_tie_rate
standard,ca_grqc,ca-GrQc,scientific_collaboration,degree_based,standard_local,pa,PA,5,496.0,306.2,3516.2,0.9487857528332434,198.2,47.4,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_aa,CAR-AA,5,1131.2,92.6,2667.4,0.7197517539125743,2404.2,2404.2,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_cn,CAR-CN,5,447.8,204.0,3462.2,0.9342147868321641,2404.2,2404.2,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,car_ra,CAR-RA,5,1118.0,95.8,2683.8,0.7241770102536428,2404.2,2404.2,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,fsw,FSW,5,895.8,254.6,3064.8,0.8269832703723692,1964.0,1964.0,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ia1,IA1,5,1228.4,128.2,2605.8,0.7031300593631948,1964.0,1964.0,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ia2,IA2,5,1225.0,124.6,2605.6,0.7030760928224501,1964.0,1964.0,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,lit,LIT-i2,5,1515.2,51.8,2242.6,0.6051268213707501,2087.6,2087.6,5,1.0
standard,ca_grqc,ca-GrQc,scientific_collaboration,enhanced_local,enhanced_local,ra_cni,RA-CNI,5,1561.2,84.2,2229.0,0.6014570966001079,1865.6,1495.6,4,0.8
standard,ca_grqc,ca-GrQc,scientific_collaboration,local_bayesian,local_bayesian,lnb_aa,LNB-AA,5,1423.2,138.4,2421.2,0.6533189422558014,1964.0,1964.0,5,1.0
