benchmark,network_id,network,domain,fold,family,method_id,method,parameter,parameter_value,is_primary,configuration_scoring_seconds,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,90.9079664228484,0.9861388059492766,0.9883465080737525,0.9479809976247031,0.9479809976247031,0.9479809976247031,0.9531645277653592,16840,16840,16840,33680,8049,3446,29077,0.8633313539192399,11714,10.1,10,5,5,1,True
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,93.32379844691604,0.9905359081455567,0.9923078622468839,0.9677553444180522,0.9677553444180522,0.9677553444180522,0.9708778857041257,16840,16840,16840,33680,10677,3924,26927,0.7994952494061758,11714,3.08,6,1,5,3,True
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,97.78719401266426,0.9918949110529702,0.9933290406847174,0.9684085510688836,0.9684085510688836,0.9684085510688836,0.9715799817416534,16840,16840,16840,33680,14659,2207,21228,0.6302850356294537,11714,2.095,2,1,1,2,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,89.95290423883125,0.9889538061352868,0.9903628586924018,0.9530285035629453,0.9530285035629453,0.9530285035629453,0.9578663853348091,16840,16840,16840,33680,20155,181,13706,0.4069477434679335,11714,1.8578768588154766,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,103.4492136980407,0.9889060967377103,0.9903175743056065,0.9527315914489312,0.9527315914489312,0.9527315914489312,0.9576020208978516,16840,16840,16840,33680,20155,181,13706,0.4069477434679335,11714,1.8502641277853493,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,90.74375975690782,0.9889010581114548,0.9903128420483974,0.9527315914489312,0.9527315914489312,0.9527315914489312,0.9576016885992705,16840,16840,16840,33680,20155,181,13706,0.4069477434679335,11714,1.8501515965870619,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,lit,LIT-i2,iterations,2.0,True,12.539859144948423,0.990766356966091,0.9917074192060528,0.9667458432304038,0.9667458432304038,0.9667458432304038,0.9701678632455624,16840,16840,16840,33680,18420,230,15490,0.459916864608076,14750,0.013073782453950692,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,lit,LIT-i4,iterations,4.0,False,21.939840890932828,0.9880857594002791,0.9889084865381034,0.9512470308788599,0.9512470308788599,0.9512470308788599,0.9564231846308954,16840,16840,16840,33680,18923,8,14765,0.43839073634204273,14750,0.008256267967361128,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,enhanced_local,lit,LIT-i6,iterations,6.0,False,36.962107905652374,0.9867536365359761,0.9875050408060212,0.9412114014251781,0.9412114014251781,0.9412114014251781,0.9475321472310156,16840,16840,16840,33680,18922,9,14767,0.43845011876484563,14750,0.007685889371672135,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,56.2158835567534,0.9944506141526925,0.995198816512545,0.973396674584323,0.973396674584323,0.973396674584323,0.9761667961388251,16840,16840,16840,33680,20257,187,13610,0.40409738717339666,11723,4.7096570227807945e-07,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l3,steps,3.0,True,56.2158835567534,0.995554220858211,0.9961823043906319,0.9761282660332542,0.9761282660332542,0.9761282660332542,0.9786493077936171,16840,16840,16840,33680,20262,189,13607,0.4040083135391924,11714,1.0587750722114907e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,56.2158835567534,0.9848031114865106,0.9898938662611922,0.9614608076009501,0.9614608076009501,0.9614608076009501,0.9646170226403127,16840,16840,16840,33680,21409,373,12644,0.37541567695961997,11714,0.001962080011302125,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,211.05407935427502,0.9929737416967324,0.9940351184968488,0.9673396674584323,0.9673396674584323,0.9673396674584323,0.9707058768509723,16840,16840,16840,33680,28679,403,5404,0.16045130641330166,2684,4.5462154500241825e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l5,steps,5.0,False,211.05407935427502,0.994907023063542,0.9956888308151048,0.9741686460807601,0.9741686460807601,0.9741686460807601,0.9768648410534833,16840,16840,16840,33680,28680,403,5403,0.16042161520190024,2684,2.0928865493336413e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,211.05407935427502,0.9839966279152123,0.9893995446172161,0.9600950118764846,0.9600950118764846,0.9600950118764846,0.963333116101153,16840,16840,16840,33680,30139,571,4112,0.12209026128266033,2684,0.002057691482279252,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,LRW-l7,steps,7.0,False,268.84008316742256,0.9914072037437733,0.9925887192438544,0.9608669833729216,0.9608669833729216,0.9608669833729216,0.9649076888436442,16840,16840,16840,33680,33331,67,416,0.012351543942992874,204,4.1144692541279606e-07,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,SRW-l7,steps,7.0,False,268.84008316742256,0.9942977078355149,0.9951796970650131,0.9721496437054632,0.9721496437054632,0.9721496437054632,0.9750404085723974,16840,16840,16840,33680,33329,69,420,0.012470308788598575,204,3.1099507891362296e-06,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,PFP-l7,steps,7.0,False,268.84008316742256,0.983996917800979,0.9894002428190994,0.9600950118764846,0.9600950118764846,0.9600950118764846,0.963333116101153,16840,16840,16840,33680,33431,42,291,0.008640142517814727,204,0.002057691482279252,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,105.43937204312533,0.9871249889190663,0.9889210307977422,0.9482154522240038,0.9482154522240038,0.9482154522240038,0.9534665989242274,16839,16839,16839,33678,8047,3463,29094,0.8638874042401568,11263,9.8,29,17,12,25,True
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,88.32088461099193,0.9916679656180367,0.9930118777082806,0.9671595700457272,0.9671595700457272,0.9671595700457272,0.9704609171974224,16839,16839,16839,33678,10664,3916,26930,0.7996318071144367,11263,2.84,2,1,1,2,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,95.59010723792017,0.993063208796743,0.9940807383914708,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9718952160771063,16839,16839,16839,33678,14645,2202,21235,0.6305303165271097,11263,2.067,6,4,2,3,True
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,91.7362922821194,0.9896386382715945,0.9909174799771502,0.9543322050002969,0.9543322050002969,0.9543322050002969,0.9590661672634452,16839,16839,16839,33678,20134,184,13728,0.4076251558881169,11263,1.8202904043698034,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,92.54454832570627,0.989592606450511,0.9908739570838597,0.9542134331017281,0.9542134331017281,0.9542134331017281,0.9589586119027971,16839,16839,16839,33678,20134,184,13728,0.4076251558881169,11263,1.8146455358380564,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,96.79400908341631,0.9895881303956758,0.990869721528002,0.9541540471524438,0.9541540471524438,0.9541540471524438,0.958906053649286,16839,16839,16839,33678,20134,184,13728,0.4076251558881169,11263,1.8140349436334902,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,lit,LIT-i2,iterations,2.0,True,11.425190224312246,0.9921393662153634,0.9926975895888923,0.9667438684007363,0.9667438684007363,0.9667438684007363,0.9702786553457893,16839,16839,16839,33678,18331,252,15599,0.46318071144367245,14804,0.012115848715865006,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,lit,LIT-i4,iterations,4.0,False,26.529478882905096,0.9893912290032945,0.9898419397412582,0.9509472058910862,0.9509472058910862,0.9509472058910862,0.9562649973903458,16839,16839,16839,33678,18866,8,14820,0.4400498841973989,14804,0.0076000420827750555,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,enhanced_local,lit,LIT-i6,iterations,6.0,False,48.64471054309979,0.9879515579340052,0.9883379471091644,0.9402577350198943,0.9402577350198943,0.9402577350198943,0.9467907321825753,16839,16839,16839,33678,18865,9,14822,0.4401092701466833,14804,0.007097194108017883,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,55.27202562009916,0.995014678143835,0.9956767670778713,0.9739889542134331,0.9739889542134331,0.9739889542134331,0.9767290278984254,16839,16839,16839,33678,20236,197,13639,0.4049824811449611,11267,4.3674140933578065e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l3,steps,3.0,True,55.27202562009916,0.9960675178161966,0.9965986388080228,0.9768988657283687,0.9768988657283687,0.9768988657283687,0.9793717931643768,16839,16839,16839,33678,20244,193,13627,0.4046261654492547,11263,9.92320539985237e-07,1,0,1,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l3,steps,3.0,True,55.27202562009916,0.9858571773622331,0.9905321378513954,0.9637745709365164,0.9637745709365164,0.9637745709365164,0.9667592613584669,16839,16839,16839,33678,21567,477,12588,0.37377516479600925,11263,0.0019592051151623054,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,LRW-l5,steps,5.0,False,217.29277663584799,0.9933776287731131,0.9942918355330064,0.9664469386543144,0.9664469386543144,0.9664469386543144,0.9699626865576204,16839,16839,16839,33678,30115,320,3883,0.11529782053566126,1855,4.140428576793235e-07,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,SRW-l5,steps,5.0,False,217.29277663584799,0.9953841066473575,0.9960395471981303,0.9755329888948275,0.9755329888948275,0.9755329888948275,0.9781112272074821,16839,16839,16839,33678,30115,320,3883,0.11529782053566126,1855,2.03070791657959e-06,1,1,0,1,False
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,PFP-l5,steps,5.0,False,217.29277663584799,0.9849970477295107,0.9899533743592589,0.9625868519508284,0.9625868519508284,0.9625868519508284,0.9656334707562897,16839,16839,16839,33678,31020,365,3023,0.08976186234336955,1855,0.0020472054822428592,1,0,1,1,False
