benchmark,network_id,network,domain,family,method_id,method,parameter,parameter_value,is_primary,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,ndcg_mean,ndcg_std
standard,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.1,beta,0.1,False,0.9867908536107077,0.0008290698321555172,0.9886946768228416,0.0006615234043449324,0.9473371580141621,0.001711903839623527,0.9473371580141621,0.001711903839623527,0.9473371580141621,0.001711903839623527,0.9526664215299119,0.0015478796246472545
standard,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.01,beta,0.01,False,0.9913060904066752,0.000696541590647097,0.9927806548441669,0.0005329912226689595,0.9669461636041996,0.0015012075811461655,0.9669461636041996,0.0015012075811461655,0.9669461636041996,0.0015012075811461655,0.9702403769484865,0.001341532665254114
standard,ego_facebook,ego-Facebook,social,quasi_local_path,lpi,LPI-beta-0.001,beta,0.001,True,0.992660597056271,0.0005984758377195425,0.9938178353383392,0.00044824145655825566,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514729,0.9683001554896243,0.0014961589942514195,0.9715555388215062,0.0013457753731549095
standard,ego_facebook,ego-Facebook,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.1,beta,0.1,False,0.9892147959814863,0.0007056743256546571,0.990596093030371,0.0006168154800457812,0.9525868159807166,0.0021320914148009354,0.9525868159807166,0.0021320914148009354,0.9525868159807166,0.0021320914148009354,0.9574981123889353,0.0019114323583341245
standard,ego_facebook,ego-Facebook,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.01,beta,0.01,False,0.9891658513038912,0.000706815412059568,0.9905498542500899,0.000617766503398543,0.952408661659345,0.0021162806679626512,0.952408661659345,0.0021162806679626512,0.952408661659345,0.0021162806679626512,0.95733807451834,0.0018979281157861542
standard,ego_facebook,ego-Facebook,social,quasi_local_path,ora_cni,ORA-CNI-beta-0.001,beta,0.001,True,0.9891608980727001,0.0007070432165979338,0.990545150462086,0.0006179719491773102,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.9523849072796313,0.0021091106332868457,0.957316844776049,0.0018911629236653832
standard,ego_facebook,ego-Facebook,social,enhanced_local,lit,LIT-i2,iterations,2.0,True,0.9917346536091138,0.000684422791928287,0.9924061003175702,0.0005958111377289547,0.9670174387333781,0.001745304186824847,0.9670174387333781,0.001745304186824847,0.9670174387333781,0.001745304186824847,0.9704842343146556,0.00155448668133589
standard,ego_facebook,ego-Facebook,social,enhanced_local,lit,LIT-i4,iterations,4.0,False,0.9889692280370106,0.0006813700781838695,0.989523531424837,0.0006290260403887886,0.9509240305596428,0.0016932100660668559,0.9509240305596428,0.0016932100660668559,0.9509240305596428,0.0016932100660668559,0.9562121363292402,0.0014802659104716427
standard,ego_facebook,ego-Facebook,social,enhanced_local,lit,LIT-i6,iterations,6.0,False,0.9875834870911158,0.0006480859429343507,0.9880714356491562,0.0006009681188989263,0.9404484683009511,0.0021909125383919995,0.9404484683009511,0.0021909125383919995,0.9404484683009511,0.0021909125383919995,0.946928442090367,0.001914203553638214
standard,ego_facebook,ego-Facebook,social,quasi_local_walk,lrw,LRW-l3,steps,3.0,True,0.9948354923055733,0.0004562197243207621,0.9955508872740515,0.00041395048520697123,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.973882375477468,0.0014073230437234622,0.9766210712412006,0.0012661204243965116
