benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,lpi,0.9918949110529702,0.9933290406847174,0.9684085510688836,0.9684085510688836,0.9684085510688836,0.9715799817416534,16840,16840,16840,33680,14659,2207,21228,0.6302850356294537,11714,2.095,2,1,1,2,False,LPI-beta-0.001,145.73095678491518
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,ora_cni,0.9889010579870334,0.9903128420483974,0.9527315914489312,0.9527315914489312,0.9527315914489312,0.9576016885992705,16840,16840,16840,33680,20156,180,13704,0.40688836104513065,11714,1.850151596587062,1,0,1,1,False,ORA-CNI-beta-0.001,145.73095678491518
standard,ego_facebook,ego-Facebook,social,1,quasi_local_path,fl,0.9919669225576206,0.9933634094961098,0.9684085510688836,0.9684085510688836,0.9684085510688836,0.9715879815657087,16840,16840,16840,33680,15044,1870,20506,0.6088479809976247,11714,0.0004983326921712514,2,1,1,2,False,FL-l3,145.73095678491518
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,lpi,0.993063208796743,0.9940807383914708,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9718952160771063,16839,16839,16839,33678,14645,2202,21235,0.6305303165271097,11263,2.067,6,4,2,3,True,LPI-beta-0.001,146.2628954341635
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,ora_cni,0.9895881301854708,0.9908697215280019,0.9541540471524438,0.9541540471524438,0.9541540471524438,0.958906053649286,16839,16839,16839,33678,20132,184,13730,0.40768454183740127,11263,1.8140349436334895,1,0,1,1,False,ORA-CNI-beta-0.001,146.2628954341635
standard,ego_facebook,ego-Facebook,social,2,quasi_local_path,fl,0.9931344677248269,0.9941192992305633,0.9686442187778371,0.9686442187778371,0.9686442187778371,0.9719027555396524,16839,16839,16839,33678,15004,1879,20553,0.6102797078211295,11263,0.0004974734449650936,6,4,2,3,True,FL-l3,146.2628954341635
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,lpi,0.9932478139181329,0.9942294042860673,0.9694162361185343,0.9694162361185343,0.9694162361185343,0.9725971028376967,16839,16839,16839,33678,14446,2266,21498,0.6383395688580082,11075,2.05,5,2,3,2,True,LPI-beta-0.001,145.97056589042768
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,ora_cni,0.9896800615473033,0.9909117808445389,0.9516004513332146,0.9516004513332146,0.9516004513332146,0.9566813682260735,16839,16839,16839,33678,20109,196,13765,0.40872379594987823,11075,1.7462474560377828,1,0,1,1,False,ORA-CNI-beta-0.001,145.97056589042768
standard,ego_facebook,ego-Facebook,social,3,quasi_local_path,fl,0.9933004923218264,0.9942561806872751,0.9694162361185343,0.9694162361185343,0.9694162361185343,0.9726027748602804,16839,16839,16839,33678,14840,1906,20744,0.6159510659777897,11075,0.000496951759161355,5,2,3,2,True,FL-l3,145.97056589042768
standard,ego_facebook,ego-Facebook,social,4,quasi_local_path,lpi,0.9929449967196976,0.9941180719421048,0.9692974642199655,0.9692974642199655,0.9692974642199655,0.972442608311458,16839,16839,16839,33678,14631,2228,21275,0.6317180355127977,11101,2.084,4,2,2,4,False,LPI-beta-0.001,149.92381333420053
