benchmark,network_id,network,domain,fold,family,method_id,average_precision,roc_auc,precision,recall,f1,ndcg,cutoff,positive_count,negative_count,candidate_count,distinct_score_count,tie_group_count,tied_candidate_count,tied_candidate_ratio,largest_tie_group,cutoff_score,cutoff_tie_size,cutoff_tie_positive_count,cutoff_tie_negative_count,cutoff_slots_in_tie,cutoff_tie_crosses_boundary,method,family_scoring_seconds
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,lrw,0.9944506141526925,0.995198816512545,0.973396674584323,0.973396674584323,0.973396674584323,0.9761667961388251,16840,16840,16840,33680,20257,187,13610,0.40409738717339666,11723,4.7096570227807945e-07,1,0,1,1,False,LRW-l3,58.048760500736535
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,srw,0.995554220858211,0.9961823043906319,0.9761282660332542,0.9761282660332542,0.9761282660332542,0.9786493077936171,16840,16840,16840,33680,20262,189,13607,0.4040083135391924,11714,1.0587750722114907e-06,1,1,0,1,False,SRW-l3,58.048760500736535
standard,ego_facebook,ego-Facebook,social,1,quasi_local_walk,pfp,0.9848031114865106,0.9898938662611922,0.9614608076009501,0.9614608076009501,0.9614608076009501,0.9646170226403127,16840,16840,16840,33680,21409,373,12644,0.37541567695961997,11714,0.001962080011302125,1,0,1,1,False,PFP-l3,58.048760500736535
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,lrw,0.995014678143835,0.9956767670778713,0.9739889542134331,0.9739889542134331,0.9739889542134331,0.9767290278984254,16839,16839,16839,33678,20236,197,13639,0.4049824811449611,11267,4.3674140933578065e-07,1,1,0,1,False,LRW-l3,66.08386844815686
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,srw,0.9960675178161966,0.9965986388080228,0.9768988657283687,0.9768988657283687,0.9768988657283687,0.9793717931643768,16839,16839,16839,33678,20244,193,13627,0.4046261654492547,11263,9.92320539985237e-07,1,0,1,1,False,SRW-l3,66.08386844815686
standard,ego_facebook,ego-Facebook,social,2,quasi_local_walk,pfp,0.9858571773622331,0.9905321378513954,0.9637745709365164,0.9637745709365164,0.9637745709365164,0.9667592613584669,16839,16839,16839,33678,21567,477,12588,0.37377516479600925,11263,0.0019592051151623054,1,1,0,1,False,PFP-l3,66.08386844815686
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,lrw,0.9953170667558764,0.9958846496405855,0.9747609715541303,0.9747609715541303,0.9747609715541303,0.9774430245842712,16839,16839,16839,33678,20228,201,13651,0.4053387968406675,11077,4.0397350957827596e-07,1,1,0,1,False,LRW-l3,55.47931861085817
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,srw,0.9962117854055104,0.9966779276378098,0.9777302690183503,0.9777302690183503,0.9777302690183503,0.9801208764738425,16839,16839,16839,33678,20228,202,13652,0.4053684898153097,11075,9.091610859353788e-07,1,1,0,1,False,SRW-l3,55.47931861085817
standard,ego_facebook,ego-Facebook,social,3,quasi_local_walk,pfp,0.9847867325120107,0.9904094442724652,0.9630025535958192,0.9630025535958192,0.9630025535958192,0.965888393620671,16839,16839,16839,33678,21707,487,12458,0.36991507809252333,11075,0.0019202806522367185,1,1,0,1,False,PFP-l3,55.47931861085817
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,lrw,0.9951347797607372,0.9959599392028099,0.9754736029455431,0.9754736029455431,0.9754736029455431,0.9780272582982525,16839,16839,16839,33678,20311,206,13573,0.4030227448185759,11104,4.498264300040312e-07,1,1,0,1,False,LRW-l3,60.97140683280304
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,srw,0.9959924379060716,0.9966845331300013,0.9780271987647723,0.9780271987647723,0.9780271987647723,0.9803423044143245,16839,16839,16839,33678,20315,205,13568,0.4028742799453649,11101,1.0272348043663036e-06,1,1,0,1,False,SRW-l3,60.97140683280304
standard,ego_facebook,ego-Facebook,social,4,quasi_local_walk,pfp,0.984785129132222,0.990266019040654,0.9644872023279292,0.9644872023279292,0.9644872023279292,0.9672468776762719,16839,16839,16839,33678,21761,482,12399,0.3681631925886335,11101,0.0019414855682162921,1,1,0,1,False,PFP-l3,60.97140683280304
standard,ego_facebook,ego-Facebook,social,5,quasi_local_walk,lrw,0.9942603227147259,0.9950342639364451,0.9717916740899103,0.9717916740899103,0.9717916740899103,0.974739249286229,16839,16839,16839,33678,20320,191,13549,0.4023101134271631,11954,4.5294345538732574e-07,1,0,1,1,False,LRW-l3,57.33147719176486
standard,ego_facebook,ego-Facebook,social,5,quasi_local_walk,srw,0.9954464271538837,0.9960633505988484,0.974404655858424,0.974404655858424,0.974404655858424,0.9771281198217195,16839,16839,16839,33678,20327,190,13541,0.4020725696300255,11949,1.0369236835313127e-06,1,0,1,1,False,SRW-l3,57.33147719176486
standard,ego_facebook,ego-Facebook,social,5,quasi_local_walk,pfp,0.9838689597826238,0.9895852477754858,0.9612803610665717,0.9612803610665717,0.9612803610665717,0.9643284852505912,16839,16839,16839,33678,21303,217,12592,0.37389393669457804,11949,0.002063150717273674,1,1,0,1,False,PFP-l3,57.33147719176486
standard,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,lrw,0.9304066010635507,0.9376045552714167,0.8645713345400691,0.8645713345400691,0.8645713345400691,0.8749731315989346,24308,24308,24308,48616,46503,99,2212,0.045499424057923316,1979,4.0584067059575293e-07,1,1,0,1,False,LRW-l3,188.79050572030246
standard,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,srw,0.9504193520918426,0.9543010705828869,0.8880204048050024,0.8880204048050024,0.8880204048050024,0.8974059527423389,24308,24308,24308,48616,46505,99,2210,0.04545828533816028,1977,9.183790726996302e-07,1,1,0,1,False,SRW-l3,188.79050572030246
standard,socfb_middlebury45,socfb-Middlebury45,social,1,quasi_local_walk,pfp,0.916354474018338,0.9336333038983096,0.8617739015961823,0.8617739015961823,0.8617739015961824,0.870108726547821,24308,24308,24308,48616,46624,16,2008,0.04130327464209314,1977,0.0013784350363712954,1,1,0,1,False,PFP-l3,188.79050572030246
standard,socfb_middlebury45,socfb-Middlebury45,social,2,quasi_local_walk,lrw,0.931753570211876,0.9389550071975498,0.8682738193187428,0.8682738193187428,0.8682738193187428,0.8783345669640023,24308,24308,24308,48616,46547,112,2181,0.04486177390159618,1904,4.0483822858920707e-07,1,0,1,1,False,LRW-l3,188.04167652502656
